given_name,family_name,other_names,display_name,full_title,gender,date_of_birth,date_of_death,phoneNumber
Liam,Byrne,Dominic,Liam Byrne,Rt Hon Liam Byrne MP,Male,,,
Chris,Grayling,,Lord Grayling,The Rt Hon. the Lord Grayling,Male,,,
Patrick,McFadden,Bosco,Pat McFadden,Rt Hon Pat McFadden MP,Male,,,
Alistair,Carmichael,,Mr Alistair Carmichael,Rt Hon Alistair Carmichael MP,Male,,,
Craig,Whittaker,,Craig Whittaker,Rt Hon Craig Whittaker,Male,,,
David,Rutley,Henry,David Rutley,David Rutley,Male,,,
Melvyn,Stride,John,Sir Mel Stride,Rt Hon Sir Mel Stride MP,Male,,,
Alexander,Norman,Jesse,Jesse Norman,Rt Hon Jesse Norman MP,Male,,,
James,Berry,Jacob Gilchrist,Sir Jake Berry,Sir Jake Berry,Male,,,
John,Glen,Philip,John Glen,Rt Hon John Glen MP,Male,,,
George,Freeman,William,George Freeman,George Freeman MP,Male,,,
Stephen,Barclay,Paul,Steve Barclay,Rt Hon Steve Barclay MP,Male,,,
Bernard,Jenkin,Christison,Sir Bernard Jenkin,Sir Bernard Jenkin MP,Male,,,
Julian,Lewis,Murray,Sir Julian Lewis,Rt Hon Sir Julian Lewis MP,Male,,,
John,Cryer,,Lord Cryer,The Lord Cryer,Male,,,
James,Gray,Whiteside,James Gray,James Gray,Male,,,
David,Amess,Anthony Andrew,Sir David Amess,Sir David Amess,Male,,2021-10-15,
Roger,Gale,James,Sir Roger Gale,Rt Hon Sir Roger Gale MP,Male,,,
Geraint,Davies,Richard,Geraint Davies,Geraint Davies,Male,,,
Jeremy,Corbyn,Bernard,Jeremy Corbyn,Rt Hon Jeremy Corbyn MP,Male,,,
Geoffrey,Clifton-Brown,Robert,Sir Geoffrey Clifton-Brown,Sir Geoffrey Clifton-Brown MP,Male,,,
Laurence,Robertson,Anthony,Mr Laurence Robertson,Mr Laurence Robertson,Male,,,
William,Cash,Nigel Paul,Sir William Cash,Sir William Cash,Male,,,
Jon,Trickett,Hedley,Jon Trickett,Jon Trickett MP,Male,,,
Fabian,Hamilton,,Fabian Hamilton,Fabian Hamilton MP,Male,,,
Graham,Brady,,Lord Brady of Altrincham,The Rt Hon. the Lord Brady of Altrincham,Male,,,
Clive,Efford,Stanley,Clive Efford,Clive Efford MP,Male,,,
Nigel,Evans,Martin,Mr Nigel Evans,Rt Hon Nigel Evans,Male,,,
John,McDonnell,Martin,John McDonnell,Rt Hon John McDonnell MP,Male,,,
Barry,Sheerman,John,Mr Barry Sheerman,Mr Barry Sheerman,Male,,,
Mark,Hendrick,Phillip,Sir Mark Hendrick,Sir Mark Hendrick MP,Male,,,
Lindsay,Hoyle,Harvey,Sir Lindsay Hoyle,Rt Hon Sir Lindsay Hoyle MP,Male,,,
Jeffrey,Donaldson,Mark,Sir Jeffrey M Donaldson,Rt Hon Sir Jeffrey M Donaldson,Male,,,
Ian,Liddell-Grainger,Richard Peregrine,Mr Ian Liddell-Grainger,Mr Ian Liddell-Grainger,Male,,,
Khalid,Mahmood,,Mr Khalid Mahmood,Mr Khalid Mahmood,Male,,,
David,Davies,Thomas Charles,David T C Davies,Rt Hon David T C Davies,Male,,,
Adam,Holloway,James Harold,Adam Holloway,Adam Holloway,Male,,,
Angus,MacNeil,Brendan,Angus Brendan MacNeil,Angus Brendan MacNeil,Male,,,
Charles,Walker,Ashley Rupert,Sir Charles Walker,Sir Charles Walker,Male,,,
Virendra,Sharma,Kumar,Mr Virendra Sharma,Mr Virendra Sharma,Male,,,
Philip,Davies,Andrew,Sir Philip Davies,Sir Philip Davies,Male,,,
Daniel,Kawczynski,Robert,Daniel Kawczynski,Daniel Kawczynski,Male,,,
Mark,Pritchard,Andrew,Mark Pritchard,Rt Hon Mark Pritchard MP,Male,,,
Hywel,Williams,,Hywel Williams,Hywel Williams,Male,,,
Andrew,Rosindell,Richard,Andrew Rosindell,Andrew Rosindell MP,Male,,,
Richard,Bacon,Michael,Mr Richard Bacon,Mr Richard Bacon,Male,,,
Andrew,Slaughter,Francis,Andy Slaughter,Andy Slaughter MP,Male,,,
Adam,Afriyie,,Adam Afriyie,Adam Afriyie,Male,,,
Peter,Bone,William,Mr Peter Bone,Mr Peter Bone,Male,,,
Stewart,Hosie,,Stewart Hosie,Rt Hon Stewart Hosie,Male,,,
Philip,Hollobone,Thomas,Mr Philip Hollobone,Mr Philip Hollobone,Male,,,
John,Baron,Charles,Mr John Baron,Mr John Baron,Male,,,
John,Howell,Michael,John Howell,John Howell,Male,,,
Peter,Wishart,,Pete Wishart,Pete Wishart MP,Male,,,
Andrew,Gwynne,John,Andrew Gwynne,Andrew Gwynne MP,Male,,,
Robert,Blackman,John,Bob Blackman,Bob Blackman MP,Male,,,
Atta-Ur-Rehman,Chishti,,Rehman Chishti,Rehman Chishti,Male,,,
Robert,Stewart,Alexander,Bob Stewart,Rt Hon Bob Stewart,Male,,,
Andrew,Stevenson,John,John Stevenson,John Stevenson,Male,,,
Simon,Hart,Anthony,Lord Hart of Tenby,The Rt Hon. the Lord Hart of Tenby,Male,,,
Nicholas,Smith,Desmond John,Nick Smith,Nick Smith MP,Male,,,
Julian,Sturdy,Charles,Julian Sturdy,Julian Sturdy,Male,,,
Christopher,Evans,James,Chris Evans,Chris Evans MP,Male,,,
Jacob,Rees-Mogg,William,Sir Jacob Rees-Mogg,Rt Hon Sir Jacob Rees-Mogg,Male,,,
Nadhim,Zahawi,,Nadhim Zahawi,Rt Hon Nadhim Zahawi,Male,,,
David,Morris,Thomas,David Morris,David Morris,Male,,,
Ronald,Cowan,Jack,Ronnie Cowan,Ronnie Cowan,Male,,,
Rishi,Sunak,,Rishi Sunak,Rt Hon Rishi Sunak MP,Male,,,
John,McNally,Joseph,John McNally,John McNally,Male,,,
Richard,Graham,Michael John Ogilvie,Richard Graham,Richard Graham,Male,,,
Ian,Murray,,Ian Murray,Rt Hon Ian Murray MP,Male,,,
Alec,Shelbrooke,,Sir Alec Shelbrooke,Rt Hon Sir Alec Shelbrooke MP,Male,,,
James,Mearns,Ian,Ian Mearns,Ian Mearns,Male,,,
Nigel,Mills,John,Nigel Mills,Nigel Mills,Male,,,
Kwasi,Kwarteng,Alfred Addo,Kwasi Kwarteng,Rt Hon Kwasi Kwarteng,Male,,,
Stephen,Doughty,John,Stephen Doughty,Stephen Doughty MP,Male,,,
Jeremy,Quin,Mark,Sir Jeremy Quin,Rt Hon Sir Jeremy Quin,Male,,,
Gavin,Robinson,James,Gavin Robinson,Rt Hon Gavin Robinson MP,Male,,,
Scott,Mann,Leslie,Scott Mann,Scott Mann,Male,,,
Alun Craig,Williams,,Craig Williams,Rt Hon Craig Williams,Male,,,
Paul,Scully,Stuart,Paul Scully,Paul Scully,Male,,,
Patrick,Grady,John,Patrick Grady,Patrick Grady,Male,,,
Luke,Hall,Anthony,Luke Hall,Luke Hall,Male,,,
Royston,Smith,Matthew,Royston Smith,Royston Smith,Male,,,
Christopher,Green,James,Chris Green,Chris Green,Male,,,
Thomas,Tugendhat,Georg John,Tom Tugendhat,Rt Hon Tom Tugendhat MP,Male,,,
Craig,Tracey,Paul,Craig Tracey,Craig Tracey,Male,,,
Craig,Mackinlay,,Lord Mackinlay of Richborough,The Lord Mackinlay of Richborough JP,Male,,,
David,Linden,Melvyn,David Linden,David Linden,Male,,,
Timothy,Farron,James,Tim Farron,Tim Farron MP,Male,,,
Gareth,Johnson,Alan,Gareth Johnson,Gareth Johnson,Male,,,
Damian,Collins,Noel Thomas,Damian Collins,Damian Collins,Male,,,
Jonathan,Reynolds,Neil,Jonathan Reynolds,Rt Hon Jonathan Reynolds MP,Male,,,
Karl,Turner,,Karl Turner,Karl Turner MP,Male,,,
Paul,Blomfield,Christopher,Paul Blomfield,Paul Blomfield,Male,,,
Andrew,Bridgen,James,Andrew Bridgen,Andrew Bridgen,Male,,,
Steven,Reed,Mark Ward,Steve Reed,Rt Hon Steve Reed MP,Male,,,
Simon,Hoare,James,Simon Hoare,Simon Hoare MP,Male,,,
Andrew,Hendry,Egan Henderson,Drew Hendry,Drew Hendry,Male,,,
Christopher,Law,Murray Alexander,Chris Law,Chris Law MP,Male,,,
Neil,Coyle,,Neil Coyle,Neil Coyle MP,Male,,,
Julian,Knight,Carlton,Julian Knight,Julian Knight,Male,,,
Peter,Grant,,Peter Grant,Peter Grant,Male,,,
Marcus,Fysh,John Hudson,Mr Marcus Fysh,Mr Marcus Fysh,Male,,,
Michael,Hill,Robert,Mike Hill,Mike Hill,Male,,,
Charalambos,Charalambous,,Bambos Charalambous,Bambos Charalambous MP,Male,,,
Giles,Watling,Francis,Giles Watling,Giles Watling,Male,,,
James,Cartlidge,Roger,James Cartlidge,James Cartlidge MP,Male,,,
Neil,O'Brien,John,Neil O'Brien,Neil O'Brien MP,Male,,,
Gregory,Campbell,Lloyd,Mr Gregory Campbell,Mr Gregory Campbell MP,Male,,,
Conor,Burns,,Sir Conor Burns,Rt Hon Sir Conor Burns,Male,,,
Giacomo,Lopresti,,Jack Lopresti,Jack Lopresti,Male,,,
Mark,Pawsey,Julian Francis,Mark Pawsey,Mark Pawsey,Male,,,
William,Esterson,Roffen,Bill Esterson,Bill Esterson MP,Male,,,
Alexander,Cunningham,,Alex Cunningham,Alex Cunningham,Male,,,
Ian,Lavery,,Ian Lavery,Ian Lavery MP,Male,,,
Ian,Paisley,Richard Kyle,Ian Paisley,Ian Paisley,Male,,,
Richard,Shannon,James,Jim Shannon,Jim Shannon MP,Male,,,
Jason,McCartney,,Jason McCartney,Jason McCartney,Male,,,
Mark,Menzies,Andrew,Mark Menzies,Mark Menzies,Male,,,
Matthew,Perkins,Toby,Mr Toby Perkins,Mr Toby Perkins MP,Male,,,
Iain,Stewart,Aitken,Iain Stewart,Iain Stewart,Male,,,
Chris,Philp,Ian Brian Mynott,Chris Philp,Rt Hon Chris Philp MP,Male,,,
Matthew,Warman,Robert,Matt Warman,Matt Warman,Male,,,
Alan,Mak,,Alan Mak,Alan Mak MP,Male,,,
John,Nicolson,MacKenzie,John Nicolson,John Nicolson,Male,,,
William,Wragg,Peter,Mr William Wragg,Mr William Wragg,Male,,,
William,Quince,James,Will Quince,Will Quince,Male,,,
Christian,Matheson,John Patrick,Christian Matheson,Christian Matheson,Male,,,
Stewart,McDonald,Malcolm,Stewart Malcolm McDonald,Stewart Malcolm McDonald,Male,,,
Matthew,Pennycook,Thomas,Matthew Pennycook,Matthew Pennycook MP,Male,,,
Andrew,Lewer,Iain,Andrew Lewer,Andrew Lewer,Male,,,
Neil,Gray,Charles,Neil Gray,Neil Gray,Male,,,
Imran,Hussain,,Imran Hussain,Imran Hussain MP,Male,,,
Alan,Brown,,Alan Brown,Alan Brown,Male,,,
Martyn,Day,,Martyn Day,Martyn Day,Male,,,
Kevin,Foster,John,Kevin Foster,Kevin Foster,Male,,,
Gavin,Newlands,Andrew Stuart,Gavin Newlands,Gavin Newlands,Male,,,
Christopher,Elmore,Philip James,Chris Elmore,Chris Elmore MP,Male,,,
Wesley,Streeting,Paul William,Wes Streeting,Rt Hon Wes Streeting MP,Male,,,
Alexander,Sobel,David,Alex Sobel,Alex Sobel MP,Male,,,
Charles,Cox,Geoffrey,Sir Geoffrey Cox,Rt Hon Sir Geoffrey Cox KC MP,Male,,,
Richard,Fuller,Quentin,Richard Fuller,Richard Fuller MP,Male,,,
Richard,Plunkett-Ernle-Erle-Drax,Grosvenor,Richard Drax,Richard Drax,Male,,,
Stuart,McDonald,Campbell,Stuart C McDonald,Stuart C McDonald,Male,,,
Christopher,Stephens,Charles,Chris Stephens,Chris Stephens,Male,,,
Brendan,O'Hara,,Brendan O'Hara,Brendan O'Hara MP,Male,,,
Robert,Jenrick,Edward,Robert Jenrick,Rt Hon Robert Jenrick MP,Male,,,
Owen,Thompson,George,Owen Thompson,Rt Hon Owen Thompson,Male,,,
Stephen,Double,Daniel,Steve Double,Steve Double,Male,,,
Matthew,Western,Raymond,Matt Western,Matt Western MP,Male,,,
Peter,Aldous,James Guy,Peter Aldous,Peter Aldous,Male,,,
Michael,Kane,Joseph Patrick,Mike Kane,Mike Kane MP,Male,,,
Thomas,Sheppard,,Tommy Sheppard,Tommy Sheppard,Male,,,
Justin,Madders,Piers Richard,Justin Madders,Justin Madders MP,Male,,,
Edward,Argar,John Comport,Edward Argar,Rt Hon Edward Argar MP,Male,,,
Michael,Tomlinson-Mynors,James,Michael Tomlinson,Rt Hon Michael Tomlinson KC,Male,,,
Huw,Merriman,William,Huw Merriman,Huw Merriman,Male,,,
Conor,McGinn,Patrick,Conor McGinn,Conor McGinn,Male,,,
Stephen,Kinnock,Nathan,Stephen Kinnock,Stephen Kinnock MP,Male,,,
Samuel,Wilson,,Sammy Wilson,Rt Hon Sammy Wilson MP,Male,,,
Grahame,Morris,Mark,Grahame Morris,Grahame Morris MP,Male,,,
Matthew,Offord,James,Dr Matthew Offord,Dr Matthew Offord,Male,,,
Andrew,McDonald,Joseph,Andy McDonald,Andy McDonald MP,Male,,,
Christopher,Malthouse,Laurie,Kit Malthouse,Rt Hon Kit Malthouse MP,Male,,,
John,Mercer,Luther,Johnny Mercer,Rt Hon Johnny Mercer,Male,,,
David,Edwards,Jonathan,Jonathan Edwards,Jonathan Edwards,Male,,,
Neil,Parish,Quentin Gordon,Neil Parish,Neil Parish,Male,,,
Stephen,Metcalfe,James,Stephen Metcalfe,Stephen Metcalfe,Male,,,
Karl,McCartney,,Karl McCartney,Karl McCartney,Male,,,
Ranil,Jayawardena,Malcolm,Mr Ranil Jayawardena,Rt Hon Ranil Jayawardena,Male,,,
Ian,Blackford,,Ian Blackford,Rt Hon Ian Blackford,Male,,,
Derek,Thomas,Gordon,Derek Thomas,Derek Thomas,Male,,,
Leo,Docherty,,Leo Docherty,Leo Docherty,Male,,,
James,Morris,,James Morris,James Morris,Male,,,
Martin,Vickers,John,Martin Vickers,Martin Vickers MP,Male,,,
Douglas,Chapman,,Douglas Chapman,Douglas Chapman,Male,,,
Daniel,Zeichner,Stephen,Daniel Zeichner,Daniel Zeichner MP,Male,,,
Alexander,Chalk,John Gervase,Alex Chalk,Rt Hon Alex Chalk KC,Male,,,
Nigel,Huddleston,Paul,Nigel Huddleston,Nigel Huddleston MP,Male,,,
James,Heappey,Stephen,James Heappey,Rt Hon James Heappey,Male,,,
Peter,Kyle,John,Peter Kyle,Rt Hon Peter Kyle MP,Male,,,
Ben,Lake,Morgan,Ben Lake,Ben Lake MP,Male,,,
David,Duguid,James,David Duguid,David Duguid,Male,,,
Darren,Jones,Paul,Darren Jones,Rt Hon Darren Jones MP,Male,,,
Jonathan,Cruddas,,Jon Cruddas,Jon Cruddas,Male,,,
Gordon,Henderson,Leonard,Gordon Henderson,Gordon Henderson,Male,,,
Henry,Smith,Edward Millar,Henry Smith,Henry Smith,Male,,,
Michael,Wood,Jon,Mike Wood,Mike Wood MP,Male,,,
James,Cleverly,Spencer,Sir James Cleverly,Rt Hon Sir James Cleverly MP,Male,,,
John,Lamont,Robert,John Lamont,John Lamont MP,Male,,,
Gerald,Jones,,Gerald Jones,Gerald Jones MP,Male,,,
Kevin,Hollinrake,Paul,Kevin Hollinrake,Kevin Hollinrake MP,Male,,,
Alberto,Costa,Castrenze,Alberto Costa,Alberto Costa MP,Male,,,
Michael,Burghart,Alex,Alex Burghart,Alex Burghart MP,Male,,,
James,McMahon,Ignatius O'Rourke,Jim McMahon,Jim McMahon MP,Male,,,
David,Warburton,John,David Warburton,David Warburton,Male,,,
Luke,Pollard,,Luke Pollard,Luke Pollard MP,Male,,,
John,Dromey,Eugene Joseph,Jack Dromey,Jack Dromey,Male,,2022-01-07,
Lloyd,Russell-Moyle,,Lloyd Russell-Moyle,Lloyd Russell-Moyle,Male,,,
Alister,Jack,William,Lord Jack of Courance,The Rt Hon. the Lord Jack of Courance KBE DL,Male,,,
Clive,Lewis,Anthony,Clive Lewis,Clive Lewis MP,Male,,,
Stephen,McPartland,Anthony,Stephen McPartland,Rt Hon Stephen McPartland,Male,,,
Oliver,Dowden,James,Sir Oliver Dowden,Rt Hon Sir Oliver Dowden MP,Male,,,
James,Davies,Michael,Dr James Davies,Dr James Davies,Male,,,
Jeffrey,Smith,,Jeff Smith,Jeff Smith MP,Male,,,
Robert,Courts,Alexander,Robert Courts,Robert Courts,Male,,,
Keir,Starmer,,Sir Keir Starmer,Rt Hon Sir Keir Starmer MP,Male,,,
Richard,Burgon,,Richard Burgon,Richard Burgon MP,Male,,,
Martin,Docherty-Hughes,John,Martin Docherty-Hughes,Martin Docherty-Hughes,Male,,,
Nicklaus,Thomas-Symonds,,Nick Thomas-Symonds,Rt Hon Nick Thomas-Symonds MP,Male,,,
Abimbola,Afolami,,Bim Afolami,Bim Afolami,Male,,,
Michael,Amesbury,Lee,Mike Amesbury,Mike Amesbury,Male,,,
Daniel,Jarvis,Owen,Dan Jarvis,Dan Jarvis MP,Male,,,
William,Girvan,Paul,Paul Girvan,Paul Girvan,Male,,,
Mohammad,Yasin,,Mohammad Yasin,Mohammad Yasin MP,Male,,,
Alexander,Norris,James Jorden,Alex Norris,Alex Norris MP,Male,,,
Robert,Seely,William Henry,Bob Seely,Bob Seely,Male,,,
Jonathan,Lord,George Caladine,Mr Jonathan Lord,Mr Jonathan Lord,Male,,,
Benjamin,Bradley,David,Ben Bradley,Ben Bradley,Male,,,
Andrew,Bowie,Campbell,Andrew Bowie,Andrew Bowie MP,Male,,,
Mohammed,Khan,Afzal,Afzal Khan,Afzal Khan MP,Male,,,
Thomas,Pursglove,Christopher John,Tom Pursglove,Tom Pursglove,Male,,,
Stephen,Morgan,James,Stephen Morgan,Stephen Morgan MP,Male,,,
Simon,Clarke,Richard,Sir Simon Clarke,Rt Hon Sir Simon Clarke,Male,,,
Lee,Rowley,Benjamin,Lee Rowley,Lee Rowley,Male,,,
Douglas,Ross,Gordon,Douglas Ross,Douglas Ross,Male,,,
Peter,Dowd,Christopher,Peter Dowd,Peter Dowd MP,Male,,,
Mathew,Rodda,Richard Allen,Matt Rodda,Matt Rodda MP,Male,,,
Daniel,Carden,Joseph,Dan Carden,Dan Carden MP,Male,,,
Jonathan,Ashworth,Michael Graham,Jonathan Ashworth,Rt Hon Jonathan Ashworth,Male,,,
Edmund,Hughes,Francis,Eddie Hughes,Eddie Hughes,Male,,,
Jack,Brereton,Edgar,Jack Brereton,Jack Brereton,Male,,,
Tanmanjeet,Dhesi,Singh,Mr Tanmanjeet Singh Dhesi,Mr Tanmanjeet Singh Dhesi MP,Male,,,
James,Stone,Hume Walter Mieville,Jamie Stone,Jamie Stone MP,Male,,,
Paul,Maskey,John,Paul Maskey,Paul Maskey MP,Male,,,
Christopher,Hazzard,John,Chris Hazzard,Chris Hazzard MP,Male,,,
Damien,Moore,,Damien Moore,Damien Moore,Male,,,
Francis,Molloy,Joseph,Francie Molloy,Francie Molloy,Male,,,
Michael,Brady,,Mickey Brady,Mickey Brady,Male,,,
Mark,Eastwood,Simon,Mark Eastwood,Mark Eastwood,Male,,,
Andrew,Carter,John,Andy Carter,Andy Carter,Male,,,
Benjamin,Spencer,Walter Jack,Dr Ben Spencer,Dr Ben Spencer MP,Male,,,
Stephen,Farry,Anthony,Stephen Farry,Stephen Farry,Male,,,
Scott,Benton,Lloyd,Scott Benton,Scott Benton,Male,,,
Thomas,Randall,William,Tom Randall,Tom Randall,Male,,,
Gagan,Mohindra,,Mr Gagan Mohindra,Mr Gagan Mohindra MP,Male,,,
Lee,Anderson,,Lee Anderson,Lee Anderson MP,Male,,,
Stuart,Anderson,Paul,Stuart Anderson,Stuart Anderson MP,Male,,,
Jonathan,Gullis,Edward,Jonathan Gullis,Jonathan Gullis,Male,,,
Gary,Sambrook,William,Gary Sambrook,Gary Sambrook,Male,,,
Simon,Jupp,James,Simon Jupp,Simon Jupp,Male,,,
Allan,Dorans,Hopkins,Allan Dorans,Allan Dorans,Male,,,
James,Wild,Oliver,James Wild,James Wild MP,Male,,,
Thomas,Hunt,Patrick,Tom Hunt,Tom Hunt,Male,,,
Anthony,Mangnall,James Holland,Anthony Mangnall,Anthony Mangnall,Male,,,
Neil,Hudson,Peter Hammerton,Dr Neil Hudson,Dr Neil Hudson MP,Male,,,
Elliot,Colburn,,Elliot Colburn,Elliot Colburn,Male,,,
Mohammad Saqib,Bhatti,,Saqib Bhatti,Saqib Bhatti MP,Male,,,
Aaron,Bell,Stuart,Aaron Bell,Aaron Bell,Male,,,
Robert,Moore,Peter,Robbie Moore,Robbie Moore MP,Male,,,
Christian,Wakeford,,Christian Wakeford,Christian Wakeford MP,Male,,,
Darren,Henry,George,Darren Henry,Darren Henry,Male,,,
Christopher,Clarkson,Mark,Chris Clarkson,Chris Clarkson,Male,,,
Kieran,Mullan,John,Dr Kieran Mullan,Dr Kieran Mullan MP,Male,,,
Antony,Higginbotham,,Antony Higginbotham,Antony Higginbotham,Male,,,
Gareth,Bacon,Andrew,Gareth Bacon,Gareth Bacon MP,Male,,,
Paul,Bristow,,Paul Bristow,Paul Bristow,Male,,,
Robert,Largan,,Robert Largan,Robert Largan,Male,,,
Steven,Bonnar,,Steven Bonnar,Steven Bonnar,Male,,,
Michael,Whitley,,Mick Whitley,Mick Whitley,Male,,,
Alyn,Smith,Edward,Alyn Smith,Alyn Smith,Male,,,
Paul,Howell,,Paul Howell,Paul Howell,Male,,,
Andrew,Griffith,John,Andrew Griffith,Andrew Griffith MP,Male,,,
Paul,Holmes,John,Paul Holmes,Paul Holmes MP,Male,,,
Simon,Fell,Richard James,Simon Fell,Simon Fell,Male,,,
Dean,Russell,,Dean Russell,Dean Russell,Male,,,
Navendu,Mishra,Prabhat,Navendu Mishra,Navendu Mishra MP,Male,,,
Ian,Levy,,Ian Levy,Ian Levy,Male,,,
Imran,Ahmad Khan,Nasir,Imran Ahmad Khan,Imran Ahmad Khan,Male,,,
Tahir,Ali,,Tahir Ali,Tahir Ali MP,Male,,,
Jerome,Mayhew,Patrick Burke,Jerome Mayhew,Jerome Mayhew MP,Male,,,
Ian,Byrne,Robert,Ian Byrne,Ian Byrne MP,Male,,,
Brendan,Clarke-Smith,,Brendan Clarke-Smith,Brendan Clarke-Smith,Male,,,
Robert,Roberts,Joseph,Mr Rob Roberts,Mr Rob Roberts,Male,,,
Shaun,Bailey,Stephen,Shaun Bailey,Shaun Bailey,Male,,,
David,Doogan,Michael,Dave Doogan,Dave Doogan MP,Male,,,
Peter,Gibson,Alexander,Peter Gibson,Peter Gibson,Male,,,
Ben,Everitt,,Ben Everitt,Ben Everitt,Male,,,
Mark,Jenkinson,Ian,Mark Jenkinson,Mark Jenkinson,Male,,,
Nicholas,Fletcher,Anthony,Nick Fletcher,Nick Fletcher,Male,,,
David,Johnston,Mervyn,David Johnston,David Johnston,Male,,,
Marco,Longhi,,Marco Longhi,Marco Longhi,Male,,,
Matthew,Vickers,Alexander,Matt Vickers,Matt Vickers MP,Male,,,
Robin,Millar,John,Robin Millar,Robin Millar,Male,,,
Jacob,Young,,Jacob Young,Jacob Young,Male,,,
James,Grundy,Nelson,James Grundy,James Grundy,Male,,,
James,Murray,Stewart,James Murray,James Murray MP,Male,,,
James,Sunderland,,James Sunderland,James Sunderland,Male,,,
Samuel,Tarry,Peter,Sam Tarry,Sam Tarry,Male,,,
Richard,Holden,John,Mr Richard Holden,Rt Hon Richard Holden MP,Male,,,
Greg,Smith,,Greg Smith,Greg Smith MP,Male,,,
John,Finucane,,John Finucane,John Finucane MP,Male,,,
Robert,Butler,,Rob Butler,Rob Butler,Male,,,
James Neale,Hanvey,,Neale Hanvey,Neale Hanvey,Male,,,
Simon,Baynes,Robert Maurice,Simon Baynes,Simon Baynes,Male,,,
Mark,Logan,Rory,Mark Logan,Mark Logan,Male,,,
Gareth,Davies,Mark,Gareth Davies,Gareth Davies MP,Male,,,
Kenny,MacAskill,Wright,Kenny MacAskill,Kenny MacAskill,Male,,,
Anthony,Browne,Howe,Anthony Browne,Anthony Browne,Male,,,
Duncan,Baker,Charles,Duncan Baker,Duncan Baker,Male,,,
Richard,Thomson,Gordon,Richard Thomson,Richard Thomson,Male,,,
Colum,Eastwood,,Colum Eastwood,Colum Eastwood MP,Male,,,
Jamie,Wallis,Hamilton,Dr Jamie Wallis,Dr Jamie Wallis,Male,,,
Christopher,Loder,Lionel John,Chris Loder,Chris Loder,Male,,,
Stephen,Flynn,Mark,Stephen Flynn,Rt Hon Stephen Flynn MP,Male,,,
Mark,Fletcher,Peter,Mark Fletcher,Mark Fletcher,Male,,,
James,Daly,Barry,James Daly,James Daly,Male,,,
Daniel,Kruger,Rayne,Danny Kruger,Danny Kruger MP,Male,,,
David,Simmonds,Timothy,David Simmonds,David Simmonds MP,Male,,,
Luke,Evans,Morgan,Dr Luke Evans,Dr Luke Evans MP,Male,,,
Alexander,Stafford,Paul Thomas,Alexander Stafford,Alexander Stafford,Male,,,
