Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party_x,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address,Member,Party_y,Type of Peerage,Vote
,020 7219 5353,Lord Mance,False,contactholmember@parliament.uk,Crossbench,2,,,3754,Lord,Mance,020 7219 5353,,,,,,
left voicemail,020 7219 5353,Baroness Manningham-Buller,False,contactholmember@parliament.uk,Crossbench,2,,,3857,Baroness,Manningham-Buller,020 7219 5353,,,,,,
,020 7219 5353,Lord Mawson,False,,Crossbench,2,,,3830,Lord,Mawson,020 7219 5353,,,,,,
no ext,020 7219 5353,Baroness McGregor-Smith,False,contactholmember@parliament.uk,Non-affiliated,2,,,4554,Baroness,McGregor-Smith,020 7219 5353,,,,,,
,020 7219 5353,Lord Meston,False,contactholmember@parliament.uk,Crossbench,2,,,1940,Lord,Meston,020 7219 5353,,,Lord Meston,Crossbench,Excepted Hereditary,Not Content
Call self ended during voicemail script ,020 7219 5353,Baroness Miller of Chilthorne Domer,False,millers@parliament.uk,Liberal Democrat,2,,,1934,Baroness,Miller of Chilthorne Domer,020 7219 5353,,,Baroness Miller of Chilthorne Domer,Liberal Democrat,Life peer,Content
,020 7219 5353,Baroness Morgan of Cotes,False,morganna@parliament.uk,Non-affiliated,2,,,4027,Baroness,Morgan of Cotes,020 7219 5353,,,,,,
,020 7219 5353,Lord Mountevans,False,contactholmember@parliament.uk,Crossbench,2,,,4539,Lord,Mountevans,020 7219 5353,,,,,,
,020 7219 5353,Baroness Moyo,False,contactholmember@parliament.uk,Non-affiliated,2,,,4968,Baroness,Moyo,020 7219 5353,,,,,,
,020 7219 5353,Lord O'Donnell,False,contactholmember@parliament.uk,Crossbench,2,,,4255,Lord,O'Donnell,020 7219 5353,,,,,,
,020 7219 5353,Baroness O'Neill of Bengarve,False,contactholmember@parliament.uk,Crossbench,2,,,2441,Baroness,O'Neill of Bengarve,020 7219 5353,,,,,,
,020 7219 5353,Lord Oates,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4549,Lord,Oates,020 7219 5353,,,,,,
,020 7219 5353,Lord Pack,False,contactholmember@parliament.uk,Liberal Democrat,2,,,5389,Lord,Pack,020 7219 5353,,,,,,
,020 7219 5353,Lord Paddick,False,paddickb@parliament.uk,Non-affiliated,2,,,4288,Lord,Paddick,020 7219 5353,,,Lord Paddick,Non-affiliated,Life peer,Content
,020 7219 5353,Lord Pannick,False,contactholmember@parliament.uk,Crossbench,2,,,3870,Lord,Pannick,020 7219 5353,,,Lord Pannick,Crossbench,Life peer,Not Content
,020 7219 5353,Lord Patel,False,contactholmember@parliament.uk,Crossbench,2,,,2443,Lord,Patel,020 7219 5353,,,Lord Patel,Crossbench,Life peer,Not Content
,020 7219 5353,Lord Paul,False,contactholmember@parliament.uk,Non-affiliated,2,,,3163,Lord,Paul,020 7219 5353,,,,,,
,020 7219 5353,Earl Peel,False,contactholmember@parliament.uk,Crossbench,2,,,3161,Earl,Peel,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Pidgeon,False,pidgeonc@parliament.uk,Liberal Democrat,2,,,5366,Baroness,Pidgeon,020 7219 5353,,,,,,
did not answer try again later (12:38),020 7219 5353,Baroness Pinnock,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4341,Baroness,Pinnock,020 7219 5353,,,,,,
,020 7219 5353,Lord Ravensdale,False,contactholmember@parliament.uk,Crossbench,2,,,4715,Lord,Ravensdale,020 7219 5353,,,,,,
,020 7219 5353,Lord Redesdale,False,contactholmember@parliament.uk,Non-affiliated,2,,,3271,Lord,Redesdale,020 7219 5353,,,,,,
,020 7219 5353,Lord Ricketts,False,contactholmember@parliament.uk,Crossbench,2,,,4587,Lord,Ricketts,020 7219 5353,,,,,,
,020 7219 5353,Lord Rosenfield,False,contactholmember@parliament.uk,Non-affiliated,2,,,4992,Lord,Rosenfield,020 7219 5353,,,,,,
,020 7219 5353,Earl Russell,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4983,Earl,Russell,020 7219 5353,,,,,,
,020 7219 5353,Baroness Scott of Needham Market,False,scottrc@parliament.uk,Liberal Democrat,2,,,2542,Baroness,Scott of Needham Market,020 7219 5353,,,,,,
,020 7219 5353,Lord Scriven,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4333,Lord,Scriven,020 7219 5353,,,Lord Scriven,Liberal Democrat,Life peer,Content
,020 7219 5353,Lord Sentamu,False,contactholmember@parliament.uk,Crossbench,2,,,3762,Lord,Sentamu,020 7219 5353,,,,,,
,020 7219 5353,Lord Sharkey,False,sharkeyjk@parliament.uk,Liberal Democrat,2,,,4196,Lord,Sharkey,020 7219 5353,,,,,,
,020 7219 5353,Baroness Sheehan,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4548,Baroness,Sheehan,020 7219 5353,,,,,,
,020 7219 5353,Lord Shipley,False,shipleyj@parliament.uk,Liberal Democrat,2,,,4176,Lord,Shipley,020 7219 5353,,,,,,
,020 7219 5353,Lord Skidelsky,False,contactholmember@parliament.uk,Crossbench,2,,,3120,Lord,Skidelsky,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Stern,False,contactholmember@parliament.uk,Crossbench,2,,,2475,Baroness,Stern,020 7219 5353,,,,,,
no answer,020 7219 5353,Lord Stirrup,False,contactholmember@parliament.uk,Crossbench,2,,,4233,Lord,Stirrup,020 7219 5353,,,,,,
no answer,020 7219 5353,Lord Storey,False,storeym@parliament.uk,Liberal Democrat,2,,,4238,Lord,Storey,020 7219 5353,,,,,,
,020 7219 5353,Lord Strasburger,False,strasburgerp@parliament.uk,Liberal Democrat,2,,,4204,Lord,Strasburger,020 7219 5353,,,,,,
,020 7219 5353,Lord Strathcarron,False,contactholmember@parliament.uk,Non-affiliated,2,,,4937,Lord,Strathcarron,020 7219 5353,,,,,,
,020 7219 5353,Baroness Stuart of Edgbaston,False,stuartg@parliament.uk,Crossbench,2,,,296,Baroness,Stuart of Edgbaston,020 7219 5353,,,,,,
,020 7219 5353,Lord Sugar,False,contactholmember@parliament.uk,Crossbench,2,,,3897,Lord,Sugar,020 7219 5353,,,,,,
,020 7219 5353,Baroness Suttie,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4298,Baroness,Suttie,020 7219 5353,,,,,,
,020 7219 5353,Lord Tarassenko,False,tarassenkol@parliament.uk,Crossbench,2,,,5027,Lord,Tarassenko,020 7219 5353,,,,,,
,020 7219 5353,Baroness Thomas of Winchester,False,contactholmember@parliament.uk,Liberal Democrat,2,,,3785,Baroness,Thomas of Winchester,020 7219 5353,,,,,,
,020 7219 5353,Baroness Thornhill,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4558,Baroness,Thornhill,020 7219 5353,,,,,,
,020 7219 5353,Lord Thurlow,False,thurlowr@parliament.uk,Crossbench,2,,,4353,Lord,Thurlow,020 7219 5353,,,,,,
,020 7219 5353,Viscount Thurso,False,contactholmember@parliament.uk,Liberal Democrat,2,,,1399,Viscount,Thurso,020 7219 5353,,,,,,
,020 7219 5353,Lord Trees,False,contactholmember@parliament.uk,Crossbench,2,,,4260,Lord,Trees,020 7219 5353,,,,,,
,020 7219 5353,Lord Truscott,False,contactholmember@parliament.uk,Non-affiliated,2,,,3682,Lord,Truscott,020 7219 5353,,,,,,
,020 7219 5353,Lord Turnbull,False,andrew@the-turnbulls.com,Crossbench,2,,,3758,Lord,Turnbull,020 7219 5353,,,,,,
,020 7219 5353,Lord Tyrie,False,tyriea@parliament.uk,Non-affiliated,2,,,112,Lord,Tyrie,020 7219 5353,,,,,,
no direct phone line contact via email ,020 7219 5353,Baroness Valentine,False,contactholmember@parliament.uk,Crossbench,2,,,3757,Baroness,Valentine,020 7219 5353,,,,,,
,020 7219 5353,Lord Verdirame,False,verdirameg@parliament.uk,Non-affiliated,2,,,4962,Lord,Verdirame,020 7219 5353,,,,,,
,020 7219 5353,Lord Verjee,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4299,Lord,Verjee,020 7219 5353,,,,,,
Left voicemail,020 7219 5353,Baroness Warsi,False,warsis@parliament.uk,Non-affiliated,2,,,3839,Baroness,Warsi,020 7219 5353,,,,,,
voicemail,020 7219 5353,Baroness Wheatcroft,False,contactholmember@parliament.uk,Crossbench,2,,,4199,Baroness,Wheatcroft,020 7219 5353,,,,,,
no deets,020 7219 5353,Baroness Willis of Summertown,False,contactholmember@parliament.uk,Crossbench,2,,,4945,Baroness,Willis of Summertown,020 7219 5353,,,,,,
,020 7219 5353,Baroness Wolf of Dulwich,False,wolfa@parliament.uk,Crossbench,2,,,4347,Baroness,Wolf of Dulwich,020 7219 5353,,,,,,
,020 7219 5353,Lord Trevethin and Oaksey,False,contactholmember@parliament.uk,Crossbench,2,,,4560,Trevethin,and Oaksey,020 7219 5353,,,,,,
,020 7219 5353,Lord Neuberger of Abbotsbury,False,contactholmember@parliament.uk,Crossbench,2,,,3827,Neuberger,of Abbotsbury,020 7219 5353,,,,,,
voicemail,020 7219 5353,Lord Walker of Aldringham,False,contactholmember@parliament.uk,Crossbench,2,,,3825,Walker,of Aldringham,020 7219 5353,,,,,,
,020 7219 5353,Lord Boswell of Aynho,False,contactholmember@parliament.uk,Non-affiliated,2,,,352,Boswell,of Aynho,020 7219 5353,,,,,,
,020 7219 5353,Lord Powell of Bayswater,False,contactholmember@parliament.uk,Crossbench,2,,,2527,Powell,of Bayswater,020 7219 5353,,,,,,
,020 7219 5353,Lord Hall of Birkenhead,False,halla@parliament.uk,Crossbench,2,,,3765,Hall,of Birkenhead,020 7219 5353,,,,,,
,020 7219 5353,Lord Stevens of Birmingham,False,contactholmember@parliament.uk,Crossbench,2,,,4924,Stevens,of Birmingham,020 7219 5353,,,,,,
,020 7219 5353,Lord Blair of Boughton,False,contactholmember@parliament.uk,Crossbench,2,,,4182,Blair,of Boughton,020 7219 5353,,,,,,
,020 7219 5353,Lord Prior of Brampton,False,contactholmember@parliament.uk,Non-affiliated,2,,,127,Prior,of Brampton,020 7219 5353,,,,,,
,020 7219 5353,Lord Stern of Brentford,False,contactholmember@parliament.uk,Crossbench,2,,,3846,Stern,of Brentford,020 7219 5353,,,,,,
,020 7219 5353,Lord Hannay of Chiswick,False,contactholmember@parliament.uk,Crossbench,2,,,2167,Hannay,of Chiswick,020 7219 5353,,,,,,
no ext,020 7219 5353,Lord Carey of Clifton,False,carey.andr@gmail.com,Crossbench,2,,,2205,Carey,of Clifton,020 7219 5353,,,,,,
,020 7219 5353,Lord Thomas of Cwmgiedd,False,thomasjl@parliament.uk,Crossbench,2,,,4309,Thomas,of Cwmgiedd,020 7219 5353,,,,,,
,020 7219 5353,Lord Green of Deddington,False,contactholmember@parliament.uk,Crossbench,2,,,4346,Green,of Deddington,020 7219 5353,,,,,,
,020 7219 5353,Lord Darzi of Denham,False,contactholmember@parliament.uk,Non-affiliated,2,,,3779,Darzi,of Denham,020 7219 5353,,,,,,
,020 7219 5353,Lord Wilson of Dinton,False,contactholmember@parliament.uk,Crossbench,2,,,2206,Wilson,of Dinton,020 7219 5353,,,,,,
Left voicemail ,020 7219 5353,Lord Stoneham of Droxford,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4215,Stoneham,of Droxford,020 7219 5353,,,,,,
,020 7219 5353,Lord Austin of Dudley,False,contactholmember@parliament.uk,Non-affiliated,2,,,1511,Austin,of Dudley,020 7219 5353,,,Lord Austin of Dudley,Non-affiliated,Life peer,Not Content
,020 7219 5353,Lord Macpherson of Earl's Court,False,contactholmember@parliament.uk,Crossbench,2,,,4586,Macpherson,of Earl's Court,020 7219 5353,,,,,,
,020 7219 5353,Lord Turner of Ecchinswell,False,contactholmember@parliament.uk,Crossbench,2,,,3752,Turner,of Ecchinswell,020 7219 5353,,,,,,
,020 7219 5353,Lord Moore of Etchingham,False,contactholmember@parliament.uk,Non-affiliated,2,,,4891,Moore,of Etchingham,020 7219 5353,,,Lord Moore of Etchingham,Non-affiliated,Life peer,Not Content
,020 7219 5353,Lord O'Neill of Gatley,False,contactholmember@parliament.uk,Crossbench,2,,,4536,O'Neill,of Gatley,020 7219 5353,,,,,,
,020 7219 5353,Lord Taylor of Goss Moor,False,contactholmember@parliament.uk,Liberal Democrat,2,,,228,Taylor,of Goss Moor,020 7219 5353,,,,,,
,020 7219 5353,Lord Thomas of Gresford,False,contactholmember@parliament.uk,Liberal Democrat,2,,,1804,Thomas,of Gresford,020 7219 5353,,,,,,
number not working - email contact only,020 7219 5353,Lord Allan of Hallam,False,contactholmember@parliament.uk,Non-affiliated,2,,,397,Allan,of Hallam,020 7219 5353,,,,,,
,020 7219 5353,Lord Vaux of Harrowden,False,contactholmember@parliament.uk,Crossbench,2,,,4687,Vaux,of Harrowden,020 7219 5353,,,,,,
,020 7219 5353,Lord Carter of Haslemere,False,contactholmember@parliament.uk,Crossbench,2,,,4732,Carter,of Haslemere,020 7219 5353,,,,,,
,020 7219 5353,Lord Marks of Henley-on-Thames,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4206,Marks,of Henley-on-Thames,020 7219 5353,,,,,,
,020 7219 5353,Lord Green of Hurstpierpoint,False,contactholmember@parliament.uk,Crossbench,2,,,4191,Green,of Hurstpierpoint,020 7219 5353,,,,,,
Email only ,020 7219 5353,Lord Smith of Kelvin,False,contactholmember@parliament.uk,Crossbench,2,,,3856,Smith,of Kelvin,020 7219 5353,,,,,,
,020 7219 5353,Lord Gardiner of Kimble,False,hlseniordeputyspeaker@parliament.uk,Non-affiliated,2,,,4161,Gardiner,of Kimble,020 7219 5353,,,,,,
Voicemail,020 7219 5353,Lord Kerr of Kinlochard,False,kerrj@parliament.uk,Crossbench,2,,,3708,Kerr,of Kinlochard,020 7219 5353,,,,,,
Voicemail,020 7219 5353,Lord Stevens of Kirkwhelpington,False,contactholmember@parliament.uk,Crossbench,2,,,3733,Stevens,of Kirkwhelpington,020 7219 5353,,,,,,
Email only,020 7219 5353,Lord Berkeley of Knighton,False,contactholmember@parliament.uk,Crossbench,2,,,4276,Berkeley,of Knighton,020 7219 5353,,,Lord Berkeley of Knighton,Crossbench,Life peer,Not Content
Email only NEU,020 7219 5353,Lord Russell of Liverpool,False,contactholmember@parliament.uk,Crossbench,2,,,2134,Russell,of Liverpool,020 7219 5353,,,,,,
Email only -NEY,020 7219 5353,Lord King of Lothbury,False,contactholmember@parliament.uk,Crossbench,2,,,4280,King,of Lothbury,020 7219 5353,,,,,,
Voice message,020 7219 5353,Lord Rees of Ludlow,False,contactholmember@parliament.uk,Crossbench,2,,,3751,Rees,of Ludlow,020 7219 5353,,,,,,
Voice message,020 7219 5353,Lord Browne of Madingley,False,,Crossbench,2,,,2172,Browne,of Madingley,020 7219 5353,,,,,,
Email only - not emailed yet (NEY),020 7219 5353,Lord Currie of Marylebone,False,contactholmember@parliament.uk,Crossbench,2,,,2727,Currie,of Marylebone,020 7219 5353,,,,,,
Email only - NEY,020 7219 5353,Lord Parker of Minsmere,False,contactholmember@parliament.uk,Crossbench,2,,,4910,Parker,of Minsmere,020 7219 5353,,,,,,
Email only - NEY,020 7219 5353,Lord Hennessy of Nympsfield,False,contactholmember@parliament.uk,Crossbench,2,,,4189,Hennessy,of Nympsfield,020 7219 5353,,,,,,
Voice message,020 7219 5353,Lord Livingston of Parkhead,False,contactholmember@parliament.uk,Non-affiliated,2,,,4278,Livingston,of Parkhead,020 7219 5353,,,,,,
Email only - NEY,020 7219 5353,Lord Harries of Pentregarth,False,harriesr@parliament.uk,Crossbench,2,,,3813,Harries,of Pentregarth,020 7219 5353,,,,,,
Only contactable by email ,020 7219 5353,Lord Campbell of Pittenweem,False,campbellm@parliament.uk,Liberal Democrat,2,,,627,Campbell,of Pittenweem,020 7219 5353,,,,,,
Voicemail,020 7219 5353,Lord Pearson of Rannoch,False,lordpearsonofrannoch@gmail.com,Non-affiliated,2,,,3153,Pearson,of Rannoch,020 7219 5353,,,,,,
Contactholmember@parliament.uk,020 7219 5353,Lord Macdonald of River Glaven,False,contactholmember@parliament.uk,Crossbench,2,,,4172,Macdonald,of River Glaven,020 7219 5353,,,,,,
Email only,020 7219 5353,Lord McDonald of Salford,False,contactholmember@parliament.uk,Crossbench,2,,,4908,McDonald,of Salford,020 7219 5353,,,,,,
Voicemail ,020 7219 5353,Lord Hastings of Scarisbrick,False,contactholmember@parliament.uk,Crossbench,2,,,3759,Hastings,of Scarisbrick,020 7219 5353,,,,,,
Email o ly,020 7219 5353,Lord Oakeshott of Seagrove Bay,False,oakeshottm@parliament.uk,Non-affiliated,2,,,2536,Oakeshott,of Seagrove Bay,020 7219 5353,,,,,,
Only contactable by email,020 7219 5353,Lord Mohammed of Tinsley,False,contactholmember@parliament.uk,Liberal Democrat,2,,,5401,Mohammed,of Tinsley,020 7219 5353,,,,,,
Sent email - is in parliament,020 7219 5353,Lord Lee of Trafford,False,contactholmember@parliament.uk,Liberal Democrat,2,,,1132,Lee,of Trafford,020 7219 5353,,,,,,
Only contactable by email,020 7219 5353,Lord Purvis of Tweed,False,contactholmember@parliament.uk,Liberal Democrat,2,,,4293,Purvis,of Tweed,020 7219 5353,,,,,,
Only contactable by email,020 7219 5353,Lord Taylor of Warwick,False,taylorjdb@parliament.uk,Non-affiliated,2,,,1796,Taylor,of Warwick,020 7219 5353,,,,,,
Only contactable by email,020 7219 5353,Lord Harrington of Watford,False,harringtonr@parliament.uk,Non-affiliated,2,,,4068,Harrington,of Watford,020 7219 5353,,,,,,
Only contactable by email,020 7219 5353,Lord Evans of Weardale,False,contactholmember@parliament.uk,Crossbench,2,,,4348,Evans,of Weardale,020 7219 5353,,,,,,
Email only,020 7219 5353,Lord Singh of Wimbledon,False,singhia@parliament.uk,Crossbench,2,,,4251,Singh,of Wimbledon,020 7219 5353,,,,,,
Email only,020 7219 5353,Lord Cooper of Windrush,False,cooperac@parliament.uk,Non-affiliated,2,,,4327,Cooper,of Windrush,020 7219 5353,,,,,,
Email,020 7219 5353,Lord Woolley of Woodford,False,contactholmember@parliament.uk,Crossbench,2,,,4722,Woolley,of Woodford,020 7219 5353,,,,,,
Email,020 7219 5353,Lord Phillips of Worth Matravers,False,contactholmember@parliament.uk,Crossbench,2,,,2439,Phillips,of Worth Matravers,020 7219 5353,,,,,,
No answer,020 7219 5353,Lord Grade of Yarmouth,False,ros@michaelgrade.com,Non-affiliated,2,,,4228,Grade,of Yarmouth,020 7219 5353,,,,,,
e-mail contact only ,020 7219 5353,Lord Stevens of Ludgate,False,stevensdavid@parliament.uk,Conservative Independent,2,,,2227,Stevens,of Ludgate,020 7219 5353,,,,,,
,020 7219 5353,The Lord Archbishop of York,False,office@archbishopofyork.org,Bishops,2,,,4315,The,Archbishop of York,020 7219 5353,,,,,,
No answer ,020 7219 5353,The Lord Bishop of Bristol,False,contactholmember@parliament.uk,Bishops,2,,,4709,The,Bishop of Bristol,020 7219 5353,,,,,,
No answer ,020 7219 5353,The Lord Bishop of Chichester,False,contactholmember@parliament.uk,Bishops,2,,,4695,The,Bishop of Chichester,020 7219 5353,,,,,,
No answer ,020 7219 5353,The Lord Bishop of Coventry,False,contactholmember@parliament.uk,Bishops,2,,,5402,The,Bishop of Coventry,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Derby,False,contactholmember@parliament.uk,Bishops,2,,,4714,The,Bishop of Derby,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Gloucester,False,contactholmember@parliament.uk,Bishops,2,,,4540,The,Bishop of Gloucester,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Guildford,False,contactholmember@parliament.uk,Bishops,2,,,4933,The,Bishop of Guildford,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Hereford,False,contactholmember@parliament.uk,Bishops,2,,,5003,The,Bishop of Hereford,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Leeds,False,bainesn@parliament.uk,Bishops,2,,,4349,The,Bishop of Leeds,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Leicester,False,contactholmember@parliament.uk,Bishops,2,,,4947,The,Bishop of Leicester,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Lichfield,False,contactholmember@parliament.uk,Bishops,2,,,4954,The,Bishop of Lichfield,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Lincoln,False,bishop.lincoln@lincoln.anglican.org,Bishops,2,,,4319,The,Bishop of Lincoln,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of London,False,contactholmember@parliament.uk,Bishops,2,,,4696,The,Bishop of London,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Manchester,False,walkerdb@parliament.uk,Bishops,2,,,4878,The,Bishop of Manchester,020 7219 5353,,,,,,
,020 7219 5353,The Lord Bishop of Newcastle,False,hartleyh@parliament.uk,Bishops,2,,,4996,The,Bishop of Newcastle,020 7219 5353,,,,,,
not in chamber today,020 7219 5353,The Lord Bishop of Oxford,False,contactholmember@parliament.uk,Bishops,2,,,4279,The,Bishop of Oxford,020 7219 5353,,,,,,
no number available,020 7219 5353,The Lord Bishop of Peterborough,False,contactholmember@parliament.uk,Bishops,2,,,5371,The,Bishop of Peterborough,020 7219 5353,,,,,,
switchboard,020 7219 5353,The Lord Bishop of Southwark,False,contactholmember@parliament.uk,Bishops,2,,,4345,The,Bishop of Southwark,020 7219 5353,,,,,,
switch board - apparently doesn't have a phone number,020 7219 5353,The Lord Bishop of Southwell and Nottingham,False,contactholmember@parliament.uk,Bishops,2,,,4940,The,Bishop of Southwell and Nottingham,020 7219 5353,,,,,,
switch board - only contacted via email,020 7219 5353,The Lord Bishop of Winchester,False,contactholmember@parliament.uk,Bishops,2,,,5004,The,Bishop of Winchester,020 7219 5353,,,,,,
,2072195353,Baroness Billingham,False,a.billingham77@btinternet.com,Labour,3,,,2538,Baroness,Billingham,2072195353,,,,,,
,,Lord Liddle,False,liddler@parliament.uk,Labour,3,,,4156,Lord,Liddle,020 7219 2132,,,Lord Liddle,Labour,Life peer,Not Content
Only contactable by email- emailed,,Baroness Levitt,False,levitta@parliament.uk,Labour,3,,,5381,Baroness,Levitt,020 7219 3000,,,Baroness Levitt,Labour,Life peer,Not Content
,,Lord Lennie,False,contactholmember@parliament.uk,Labour,3,,,4338,Lord,Lennie,020 7219 5353,,,,,,
,,Lord Lemos,False,contactholmember@parliament.uk,Labour,3,,,5382,Lord,Lemos,020 7219 5353,,,Lord Lemos,Labour,Life peer,Not Content
,,Lord Layard,False,contactholmember@parliament.uk,Labour,3,,,2540,Lord,Layard,020 7219 5353,,,,,,
,,Baroness Lawrence of Clarendon,False,contactholmember@parliament.uk,Labour,3,,,4290,Baroness,Lawrence of Clarendon,020 7219 5353,,,,,,
,,Lord Kestenbaum,False,kestenbaumj@parliament.uk,Labour,3,,,4225,Lord,Kestenbaum,020 7219 5353,,,,,,
Voicemail,020 7219 0358,Baroness Pitkeathley,False,pitkeathleyj@parliament.uk,Labour,3,,,3179,Baroness,Pitkeathley,020 7219 0358,,,,,,
Voicemail,020 7219 1435,Baroness Royall of Blaisdon,False,royallj@parliament.uk,Labour,3,,,3703,Baroness,Royall of Blaisdon,020 7219 1435,,,,,,
No answer - immediate cutoff,020 7219 2558,Lord Clark of Windermere,False,clarkd@parliament.uk,Labour,3,,,525,Clark,of Windermere,020 7219 2558,,,,,,
number corrected - switchboard.  they transferred me but no answer,020 7219 3000,Lord Anderson of Swansea,False,contactholmember@parliament.uk,Labour,3,,,568,Anderson,of Swansea,020 7219 300,,,Lord Anderson of Swansea,Labour,Life peer,Not Content
voicemail,020 7219 3000,Lord Adonis,False,adonisa@parliament.uk,Labour,3,,,3743,Lord,Adonis,020 7219 3000,,,,,,
email only,020 7219 3000,Baroness Amos,False,contactholmember@parliament.uk,Labour,3,,,3477,Baroness,Amos,020 7219 3000,,,,,,
voicemail ,020 7219 3000,Baroness Prosser,False,prosserm@parliament.uk,Labour,3,,,3684,Baroness,Prosser,020 7219 3000,,,,,,
no deets,020 7219 3000,Lord Wills,False,contactholmember@parliament.uk,Labour,3,,,260,Lord,Wills,020 7219 3000,,,,,,
voicemail ,020 7219 3000,Lord Cunningham of Felling,False,contactholmember@parliament.uk,Labour,3,,,496,Cunningham,of Felling,020 7219 3000,,,,,,
Voicemail,020 7219 3118,Lord Whitty,False,whittyl@parliament.uk,Labour,3,,,2444,Lord,Whitty,020 7219 3118,,,,,,
voicemail ,020 7219 3494,Baroness Berger,False,bergerl@parliament.uk,Labour,3,,,4036,Baroness,Berger,020 7219 3494,,,Baroness Berger,Labour,Life peer,Not Content
❤️ Was really receptive,020 7219 3513,Lord Campbell-Savours,False,campbellsavours@parliament.uk,Labour,3,,,499,Lord,Campbell-Savours,020 7219 3513,,,Lord Campbell-Savours,Labour,Life peer,Not Content
no answer ,020 7219 3629,Lord Davies of Brixton,False,daviesofbrixton@parliament.uk,Labour,3,,,4893,Davies,of Brixton,020 7219 3629,,,,,,
voicemail,020 7219 3842,Lord Rowlands,False,contactholmember@parliament.uk,Labour,3,,,554,Lord,Rowlands,020 7219 3842,,,,,,
voicemail ,020 7219 4207,Lord Bradley,False,bradleykj@parliament.uk,Labour,3,,,452,Lord,Bradley,020 7219 4207,,,,,,
voicemail,020 7219 4209,Baroness Golding,False,goldingll@parliament.uk,Labour,3,,,281,Baroness,Golding,020 7219 4209,,,,,,
Voice message,020 7219 4501,Lord Browne of Ladyton,False,browned@parliament.uk,Labour,3,,,620,Browne,of Ladyton,020 7219 4501,,,Lord Browne of Ladyton,Labour,Life peer,Not Content
voicemail left,020 7219 5097,Lord Grocott,False,grocottb@parliament.uk,Labour,3,,,276,Lord,Grocott,020 7219 5097,,,,,,
no answer ,020 7219 5183,Baroness Taylor of Bolton,False,taylora@parliament.uk,Labour,3,,,407,Baroness,Taylor of Bolton,020 7219 5183,,,,,,
no answer,020 7219 5353,Baroness Sherlock,False,sherlockm@parliament.uk,Labour,3,,Minister of State,4147,Baroness,Sherlock,020 7219 5353,,,,,,
no answer straight to voicemail ,020 7219 5353,Baroness Whitaker,False,contactholmember@parliament.uk,Labour,3,,,2510,Baroness,Whitaker,020 7219 5353,,,,,,
straight to voicemail ,020 7219 5353,Baroness Adams of Craigielea,False,contactholmember@parliament.uk,Labour,3,,,631,Baroness,Adams of Craigielea,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Alexander of Cleveden,False,alexanderw@parliament.uk,Labour,3,,,5394,Baroness,Alexander of Cleveden,020 7219 5353,,,Baroness Alexander of Cleveden,Labour,Life peer,Not Content
only contactable by email,020 7219 5353,Lord Alli,False,contactholmember@parliament.uk,Labour,3,,,3482,Lord,Alli,020 7219 5353,,,,,,
only contactable by email,020 7219 5353,Baroness Andrews,False,contactholmember@parliament.uk,Labour,3,,,2534,Baroness,Andrews,020 7219 5353,,,Baroness Andrews,Labour,Life peer,Not Content
got put through to a corporate speaking agency asking if I want to book her,020 7219 5353,Baroness Ashton of Upholland,False,contactholmember@parliament.uk,Labour,3,,,2500,Baroness,Ashton of Upholland,020 7219 5353,,,,,,
voicemail ,020 7219 5353,Baroness Bakewell,False,contactholmember@parliament.uk,Labour,3,,,4223,Baroness,Bakewell,020 7219 5353,,,,,,
no details,020 7219 5353,Lord Beamish,False,beamish@parliament.uk,Labour,3,,,1438,Lord,Beamish,020 7219 5353,,,,,,
no answer ,020 7219 5353,Lord Berkeley,False,berkeleyafg@parliament.uk,Labour,3,,,3526,Lord,Berkeley,020 7219 5353,,,,,,
email only,020 7219 5353,Baroness Blower,False,blowerc@parliament.uk,Labour,3,,,4724,Baroness,Blower,020 7219 5353,,,,,,
