First name,Last name,Full name,Party,Government position,Parliamentary phone number,Constituency phone number,Email address
Sir,Bernard Jenkin,Sir Bernard Jenkin,Conservative,,,,bernard.jenkin.mp@parliament.uk
Robert,Jenrick,Robert Jenrick,Conservative,,,,robert.jenrick.mp@parliament.uk
Terry,Jermy,Terry Jermy,Labour,,,,terry.jermy.mp@parliament.uk
Adam,Jogee,Adam Jogee,Labour,,,,adam.jogee.mp@parliament.uk
Dr,Caroline Johnson,Dr Caroline Johnson,Conservative,,,,caroline.johnson.mp@parliament.uk
Dame,Diana Johnson,Dame Diana Johnson,Labour,Minister for Policing and Crime Prevention,,,johnsond@parliament.uk
Kim,Johnson,Kim Johnson,Labour,,,,kim.johnson.mp@parliament.uk
Clive,Jones,Clive Jones,Liberal Democrat,,,,clive.jones.mp@parliament.uk
Darren,Jones,Darren Jones,Labour,Chief Secretary to the Treasury,,,darren.jones.mp@parliament.uk
Gerald,Jones,Gerald Jones,Labour,Assistant Whip (HM Treasury),,,gerald.jones.mp@parliament.uk
Lillian,Jones,Lillian Jones,Labour,,,,lillian.jones.mp@parliament.uk
Louise,Jones,Louise Jones,Labour,,,,louise.jones.mp@parliament.uk
Ruth,Jones,Ruth Jones,Labour,,,,ruth.jones.mp@parliament.uk
Sarah,Jones,Sarah Jones,Labour,Minister for Industry,,,sarah.jones.mp@parliament.uk
Lincoln,Jopp,Lincoln Jopp,Conservative,,,,lincoln.jopp.mp@parliament.uk
Gurinder,Singh Josan,Gurinder Singh Josan,Labour,,,,gurinder.josan.mp@parliament.uk
Sojan,Joseph,Sojan Joseph,Labour,,,,sojan.joseph.mp@parliament.uk
Warinder,Juss,Warinder Juss,Labour,,,,warinder.juss.mp@parliament.uk
Chris,Kane,Chris Kane,Labour,,,,chris.kane.mp@parliament.uk
Mike,Kane,Mike Kane,Labour,"Minister for Aviation, Maritime and Security",,,mike.kane.mp@parliament.uk
Satvir,Kaur,Satvir Kaur,Labour,,,,satvir.kaur.mp@parliament.uk
Alicia,Kearns,Alicia Kearns,Conservative,,,,alicia.kearns.mp@parliament.uk
Liz,Kendall,Liz Kendall,Labour,Secretary of State for Work and Pensions,,,liz.kendall.mp@parliament.uk
Afzal,Khan,Afzal Khan,Labour,,,,afzal.khan.mp@parliament.uk
Ayoub,Khan,Ayoub Khan,Independent,,,,ayoub.khan.mp@parliament.uk
Naushabah,Khan,Naushabah Khan,Labour,,,,naushabah.khan.mp@parliament.uk
Stephen,Kinnock,Stephen Kinnock,Labour,Minister for Care,,,stephen.kinnock.mp@parliament.uk
Jayne,Kirkham,Jayne Kirkham,Labour (Co-op),,,,jayne.kirkham.mp@parliament.uk
Gen,Kitchen,Gen Kitchen,Labour,Assistant Whip (HM Treasury),,,gen.kitchen.mp@parliament.uk
Mr,Paul Kohler,Mr Paul Kohler,Liberal Democrat,,,,paul.kohler.mp@parliament.uk
Danny,Kruger,Danny Kruger,Conservative,,,,danny.kruger.mp@parliament.uk
Sonia,Kumar,Sonia Kumar,Labour,,,,sonia.kumar.mp@parliament.uk
Uma,Kumaran,Uma Kumaran,Labour,,,,uma.kumaran.mp@parliament.uk
Peter,Kyle,Peter Kyle,Labour,"Secretary of State for Science, Innovation and Technology",,,peter.kyle.mp@parliament.uk
Laura,Kyrke-Smith,Laura Kyrke-Smith,Labour,,,,laura.kyrkesmith.mp@parliament.uk
Ben,Lake,Ben Lake,Plaid Cymru,,,,ben.lake.mp@parliament.uk
Katie,Lam,Katie Lam,Conservative,,,,katie.lam.mp@parliament.uk
Peter,Lamb,Peter Lamb,Labour,,,,peter.lamb.mp@parliament.uk
Mr,David Lammy,Mr David Lammy,Labour,"Secretary of State for Foreign, Commonwealth and Development Affairs",,,david.lammy.mp@parliament.uk
John,Lamont,John Lamont,Conservative,,,,john.lamont.mp@parliament.uk
Ian,Lavery,Ian Lavery,Labour,,,,ian.lavery.mp@parliament.uk
Chris,Law,Chris Law,Scottish National Party,,,,chris.law.mp@parliament.uk
Noah,Law,Noah Law,Labour,,,,noah.law.mp@parliament.uk
Kim,Leadbeater,Kim Leadbeater,Labour,,,,kim.leadbeater.mp@parliament.uk
Graham,Leadbitter,Graham Leadbitter,Scottish National Party,,,,graham.leadbitter.mp@parliament.uk
Sir,Edward Leigh,Sir Edward Leigh,Conservative,,,,edward.leigh.mp@parliament.uk
Brian,Leishman,Brian Leishman,Labour,,,,brian.leishman.mp@parliament.uk
Emma,Lewell,Emma Lewell,Labour,,,,emma.lewell-buck.mp@parliament.uk
Andrew,Lewin,Andrew Lewin,Labour,,,,andrew.lewin.mp@parliament.uk
Clive,Lewis,Clive Lewis,Labour,,,,clive.lewis.mp@parliament.uk
Sir,Julian Lewis,Sir Julian Lewis,Conservative,,,,
Simon,Lightwood,Simon Lightwood,Labour (Co-op),Minister for Local Transport,,,simon.lightwood.mp@parliament.uk
Carla,Lockhart,Carla Lockhart,Democratic Unionist Party,,,,carla.lockhart.mp@parliament.uk
Seamus,Logan,Seamus Logan,Scottish National Party,,,,seamus.logan.mp@parliament.uk
Rebecca,Long Bailey,Rebecca Long Bailey,Labour,,,,rebecca.longbailey.mp@parliament.uk
Julia,Lopez,Julia Lopez,Conservative,,,,julia.lopez.mp@parliament.uk
Rupert,Lowe,Rupert Lowe,Independent,,,,rupert.lowe.mp@parliament.uk
Josh,MacAlister,Josh MacAlister,Labour,,,,josh.macalister.mp@parliament.uk
Douglas,McAllister,Douglas McAllister,Labour,,,,douglas.mcallister.mp@parliament.uk
Kerry,McCarthy,Kerry McCarthy,Labour,Minister for Climate,,,kerry.mccarthy.mp@parliament.uk
James,MacCleary,James MacCleary,Liberal Democrat,,,,james.maccleary.mp@parliament.uk
Martin,McCluskey,Martin McCluskey,Labour,Assistant Whip (HM Treasury),,,martin.mccluskey.mp@parliament.uk
Dame,Siobhain McDonagh,Dame Siobhain McDonagh,Labour,,,,mcdonaghs@parliament.uk
Andy,McDonald,Andy McDonald,Labour,,,,andy.mcdonald.2nd@parliament.uk
Chris,McDonald,Chris McDonald,Labour,,,,chris.mcdonald.mp@parliament.uk
Alice,Macdonald,Alice Macdonald,Labour (Co-op),,,,alice.macdonald.mp@parliament.uk
Mr,Angus MacDonald,Mr Angus MacDonald,Liberal Democrat,,,,angus.macdonald.mp@parliament.uk
John,McDonnell,John McDonnell,Independent,,,,mcdonnellj@parliament.uk
Blair,McDougall,Blair McDougall,Labour,,,,blair.mcdougall.mp@parliament.uk
Lola,McEvoy,Lola McEvoy,Labour,,,,lola.mcevoy.mp@parliament.uk
Pat,McFadden,Pat McFadden,Labour,Chancellor of the Duchy of Lancaster,,,mcfaddenp@parliament.uk
Alison,McGovern,Alison McGovern,Labour,Minister for Employment,,,alison.mcgovern.mp@parliament.uk
Alex,McIntyre,Alex McIntyre,Labour,,,,alex.mcintyre.mp@parliament.uk
Gordon,McKee,Gordon McKee,Labour,,,,gordon.mckee.mp@parliament.uk
Kevin,McKenna,Kevin McKenna,Labour,,,,kevin.mckenna.mp@parliament.uk
Catherine,McKinnell,Catherine McKinnell,Labour,Minister for School Standards,,,catherine.mckinnell.mp@parliament.uk
Jim,McMahon,Jim McMahon,Labour (Co-op),Minister for Local Government and English Devolution,,,jim.mcmahon.mp@parliament.uk
Anna,McMorrin,Anna McMorrin,Labour,Assistant Whip (HM Treasury),,,anna.mcmorrin.mp@parliament.uk
James,McMurdock,James McMurdock,Reform UK,,,,james.mcmurdock.mp@parliament.uk
Andy,MacNae,Andy MacNae,Labour,,,,andy.macnae.mp@parliament.uk
Frank,McNally,Frank McNally,Labour,,,,frank.mcnally.mp@parliament.uk
Kirsty,McNeill,Kirsty McNeill,Labour (Co-op),Parliamentary Under-Secretary of State,,,kirsty.mcneill.mp@parliament.uk
Esther,McVey,Esther McVey,Conservative,,,,esther.mcvey.mp@parliament.uk
Justin,Madders,Justin Madders,Labour,"Minister for Employment Rights, Competition and Markets",,,justin.madders.mp@parliament.uk
Ben,Maguire,Ben Maguire,Liberal Democrat,,,,ben.maguire.mp@parliament.uk
Helen,Maguire,Helen Maguire,Liberal Democrat,,,,helen.maguire.mp@parliament.uk
Shabana,Mahmood,Shabana Mahmood,Labour,Secretary of State for Justice and Lord Chancellor,,,shabana.mahmood.mp@parliament.uk
Alan,Mak,Alan Mak,Conservative,,,,alan.mak.mp@parliament.uk
Seema,Malhotra,Seema Malhotra,Labour (Co-op),Minister for Migration and Citizenship,,,seema.malhotra.mp@parliament.uk
Mr,Cathal Mallaghan,Mr Cathal Mallaghan,Sinn Féin,,,,cathal.mallaghan.mp@parliament.uk
Kit,Malthouse,Kit Malthouse,Conservative,,,,kit.malthouse.mp@parliament.uk
Amanda,Martin,Amanda Martin,Labour,,,,amanda.martin.mp@parliament.uk
Mike,Martin,Mike Martin,Liberal Democrat,,,,mike.martin.mp@parliament.uk
Rachael,Maskell,Rachael Maskell,Labour (Co-op),,,,rachael.maskell.mp@parliament.uk
Paul,Maskey,Paul Maskey,Sinn Féin,,,,paul.maskey.mp@parliament.uk
Keir,Mather,Keir Mather,Labour,Assistant Whip (HM Treasury),,,keir.mather.mp@parliament.uk
Brian,Mathew,Brian Mathew,Liberal Democrat,,,,brian.mathew.mp@parliament.uk
Alex,Mayer,Alex Mayer,Labour,,,,alex.mayer.mp@parliament.uk
Jerome,Mayhew,Jerome Mayhew,Conservative,,,,jerome.mayhew.mp@parliament.uk
Charlie,Maynard,Charlie Maynard,Liberal Democrat,,,,charlie.maynard.mp@parliament.uk
Llinos,Medi,Llinos Medi,Plaid Cymru,,,,llinos.medi.mp@parliament.uk
Anneliese,Midgley,Anneliese Midgley,Labour,,,,anneliese.midgley.mp@parliament.uk
Ed,Miliband,Ed Miliband,Labour,Secretary of State for Energy Security and Net Zero,,,ed.miliband.mp@parliament.uk
Calum,Miller,Calum Miller,Liberal Democrat,,,,calum.miller.mp@parliament.uk
John,Milne,John Milne,Liberal Democrat,,,,john.milne.mp@parliament.uk
Ms,Julie Minns,Ms Julie Minns,Labour,,,,julie.minns.mp@parliament.uk
Navendu,Mishra,Navendu Mishra,Labour,,,,navendu.mishra.mp@parliament.uk
Sir,Andrew Mitchell,Sir Andrew Mitchell,Conservative,,,,andrew.mitchell.mp@parliament.uk
Abtisam,Mohamed,Abtisam Mohamed,Labour,,,,abtisam.mohamed.mp@parliament.uk
Iqbal,Mohamed,Iqbal Mohamed,Independent,,,,iqbal.mohamed.mp@parliament.uk
Mr,Gagan Mohindra,Mr Gagan Mohindra,Conservative,,,,gagan.mohindra.mp@parliament.uk
Perran,Moon,Perran Moon,Labour,,,,perran.moon.mp@parliament.uk
Robbie,Moore,Robbie Moore,Conservative,,,,robbie.moore.mp@parliament.uk
Layla,Moran,Layla Moran,Liberal Democrat,,,,layla.moran.mp@parliament.uk
Jessica,Morden,Jessica Morden,Labour,,,,mordenj@parliament.uk
Edward,Morello,Edward Morello,Liberal Democrat,,,,edward.morello.mp@parliament.uk
Helen,Morgan,Helen Morgan,Liberal Democrat,,,,helen.morgan.mp@parliament.uk
Stephen,Morgan,Stephen Morgan,Labour,Minister for Early Education,,,stephen.morgan.mp@parliament.uk
Grahame,Morris,Grahame Morris,Labour,,,,grahame.morris.mp@parliament.uk
Joe,Morris,Joe Morris,Labour,,,,joe.morris.mp@parliament.uk
Tom,Morrison,Tom Morrison,Liberal Democrat,,,,tom.morrison.mp@parliament.uk
Joy,Morrissey,Joy Morrissey,Conservative,,,,joy.morrissey.mp@parliament.uk
Wendy,Morton,Wendy Morton,Conservative,,,,wendy.morton.mp@parliament.uk
Dr,Kieran Mullan,Dr Kieran Mullan,Conservative,,,,kieran.mullan.mp@parliament.uk
Margaret,Mullane,Margaret Mullane,Labour,,,,margaret.mullane.mp@parliament.uk
David,Mundell,David Mundell,Conservative,,,,david.mundell.mp@parliament.uk
Tessa,Munt,Tessa Munt,Liberal Democrat,,,,tessa.munt.mp@parliament.uk
Luke,Murphy,Luke Murphy,Labour,,,,luke.murphy.mp@parliament.uk
Chris,Murray,Chris Murray,Labour,,,,chris.murray.mp@parliament.uk
Ian,Murray,Ian Murray,Labour,Secretary of State for Scotland,,,ian.murray.mp@parliament.uk
James,Murray,James Murray,Labour (Co-op),Exchequer Secretary,,,james.murray.mp@parliament.uk
Katrina,Murray,Katrina Murray,Labour,,,,katrina.murray.mp@parliament.uk
Susan,Murray,Susan Murray,Liberal Democrat,,,,susan.murray.mp@parliament.uk
Dr,Andrew Murrison,Dr Andrew Murrison,Conservative,,,,murrisona@parliament.uk
Luke,Myer,Luke Myer,Labour,,,,luke.myer.mp@parliament.uk
James,Naish,James Naish,Labour,,,,james.naish.mp@parliament.uk
Connor,Naismith,Connor Naismith,Labour,,,,connor.naismith.mp@parliament.uk
Lisa,Nandy,Lisa Nandy,Labour,"Secretary of State for Culture, Media and Sport",,,lisa.nandy.mp@parliament.uk
Kanishka,Narayan,Kanishka Narayan,Labour,,,,kanishka.narayan.mp@parliament.uk
Pamela,Nash,Pamela Nash,Labour,,,,pamela.nash.mp@parliament.uk
Josh,Newbury,Josh Newbury,Labour,,,,josh.newbury.mp@parliament.uk
Samantha,Niblett,Samantha Niblett,Labour,,,,samantha.niblett.mp@parliament.uk
Charlotte,Nichols,Charlotte Nichols,Labour,,,,charlotte.nichols.mp@parliament.uk
Caroline,Nokes,Caroline Nokes,Conservative,,,,caroline.nokes.mp@parliament.uk
Jesse,Norman,Jesse Norman,Conservative,,,,jesse.norman.mp@parliament.uk
Alex,Norris,Alex Norris,Labour (Co-op),"Minister for Building Safety, Fire and Local Growth",,,alex.norris.mp@parliament.uk
Dan,Norris,Dan Norris,Independent,,,,dan.norris.mp@parliament.uk
Ben,Obese-Jecty,Ben Obese-Jecty,Conservative,,,,ben.obesejecty.mp@parliament.uk
Neil,O'Brien,Neil O'Brien,Conservative,,,,neil.obrien.mp@parliament.uk
Brendan,O'Hara,Brendan O'Hara,Scottish National Party,,,,brendan.ohara.mp@parliament.uk
Sarah,Olney,Sarah Olney,Liberal Democrat,,,,sarah.olney.mp@parliament.uk
Melanie,Onn,Melanie Onn,Labour,,,,melanie.onn.mp@parliament.uk
Dame,Chi Onwurah,Dame Chi Onwurah,,,,,
Dr,Simon Opher,Dr Simon Opher,Labour,,,,simon.opher.mp@parliament.uk
Ms,Abena Oppong-Asare,Ms Abena Oppong-Asare,Labour,Parliamentary Secretary,,,abena.oppongasare.mp@parliament.uk
Kate,Osamor,Kate Osamor,Labour (Co-op),,,,kate.osamor.mp@parliament.uk
Kate,Osborne,Kate Osborne,Labour,,,,kate.osborne.mp@parliament.uk
Tristan,Osborne,Tristan Osborne,Labour,,,,tristan.osborne.mp@parliament.uk
Taiwo,Owatemi,Taiwo Owatemi,Labour,Lord Commissioner (Whip),,,taiwo.owatemi.mp@parliament.uk
Sarah,Owen,Sarah Owen,Labour,,,,sarah.owen.mp@parliament.uk
Darren,Paffey,Darren Paffey,Labour,,,,darren.paffey.mp@parliament.uk
Andrew,Pakes,Andrew Pakes,Labour (Co-op),,,,andrew.pakes.mp@parliament.uk
Priti,Patel,Priti Patel,Conservative,,,,withammp@parliament.uk
Matthew,Patrick,Matthew Patrick,Labour,,,,matthew.patrick.mp@parliament.uk
Rebecca,Paul,Rebecca Paul,Conservative,,,,rebecca.paul.mp@parliament.uk
Michael,Payne,Michael Payne,Labour,,,,michael.payne.mp@parliament.uk
Stephanie,Peacock,Stephanie Peacock,Labour,"Minister for Sport, Media, Civil Society and Youth",,,stephanie.peacock.mp@parliament.uk
Jon,Pearce,Jon Pearce,Labour,,,,jon.pearce.mp@parliament.uk
Matthew,Pennycook,Matthew Pennycook,Labour,Minister for Housing and Planning,,,matthew.pennycook.mp@parliament.uk
Mr,Toby Perkins,Mr Toby Perkins,Labour,,,,toby.perkins.mp@parliament.uk
Manuela,Perteghella,Manuela Perteghella,Liberal Democrat,,,,manuela.perteghella.mp@parliament.uk
Jess,Phillips,Jess Phillips,Labour,Minister for Safeguarding and Violence Against Women and Girls,,,jess.phillips.mp@parliament.uk
Bridget,Phillipson,Bridget Phillipson,Labour,Secretary of State for Education,,,bridget.phillipson.mp@parliament.uk
Chris,Philp,Chris Philp,Conservative,,,,chris.philp.mp@parliament.uk
Dr,Al Pinkerton,Dr Al Pinkerton,Liberal Democrat,,,,al.pinkerton.mp@parliament.uk
David,Pinto-Duschinsky,David Pinto-Duschinsky,Labour,,,,david.pintoduschinsky.mp@parliament.uk
Lee,Pitcher,Lee Pitcher,Labour,,,,lee.pitcher.mp@parliament.uk
Jo,Platt,Jo Platt,Labour (Co-op),,,,jo.platt.mp@parliament.uk
Sarah,Pochin,Sarah Pochin,Reform UK,,,,sarah.pochin.mp@parliament.uk
Luke,Pollard,Luke Pollard,Labour (Co-op),Minister for the Armed Forces,,,luke.pollard.mp@parliament.uk
Joe,Powell,Joe Powell,Labour,,,,joe.powell.mp@parliament.uk
Lucy,Powell,Lucy Powell,Labour (Co-op),Lord President of the Council,,,contact@lucypowell.org.uk
Gregor,Poynton,Gregor Poynton,Labour,,,,gregor.poynton.mp@parliament.uk
Peter,Prinsley,Peter Prinsley,Labour,,,,peter.prinsley.mp@parliament.uk
Mark,Pritchard,Mark Pritchard,Conservative,,,,mark.pritchard.mp@parliament.uk
Mr,Richard Quigley,Mr Richard Quigley,Labour,,,,richard.quigley.mp@parliament.uk
Yasmin,Qureshi,Yasmin Qureshi,Labour,,,,yasmin.qureshi.mp@parliament.uk
Steve,Race,Steve Race,Labour,,,,steve.race.mp@parliament.uk
Shivani,Raja,Shivani Raja,Conservative,,,,shivani.raja.mp@parliament.uk
Adrian,Ramsay,Adrian Ramsay,Green Party,,,,adrian.ramsay.mp@parliament.uk
Mr,Connor Rand,Mr Connor Rand,Labour,,,,connor.rand.mp@parliament.uk
Andrew,Ranger,Andrew Ranger,Labour,,,,andrew.ranger.mp@parliament.uk
Jack,Rankin,Jack Rankin,Conservative,,,,jack.rankin.mp@parliament.uk
Angela,Rayner,Angela Rayner,Labour,Deputy Prime Minister,,,angela.rayner.mp@parliament.uk
Mike,Reader,Mike Reader,Labour,,,,mike.reader.mp@parliament.uk
David,Reed,David Reed,Conservative,,,,david.reed.mp@parliament.uk
Steve,Reed,Steve Reed,Labour (Co-op),"Secretary of State for Environment, Food and Rural Affairs",,,steve.reed.mp@parliament.uk
Ellie,Reeves,Ellie Reeves,Labour,Minister without Portfolio,,,ellie.reeves.mp@parliament.uk
Rachel,Reeves,Rachel Reeves,Labour,Chancellor of the Exchequer,,,rachel.reeves.mp@parliament.uk
Joani,Reid,Joani Reid,Labour,,,,joani.reid.mp@parliament.uk
Emma,Reynolds,Emma Reynolds,Labour,Economic Secretary,,,emma.reynolds.mp@parliament.uk
Jonathan,Reynolds,Jonathan Reynolds,Labour (Co-op),Secretary of State for Business and Trade,,,jonathan.reynolds.mp@parliament.uk
Mr,Joshua Reynolds,Mr Joshua Reynolds,Liberal Democrat,,,,joshua.reynolds.mp@parliament.uk
Martin,Rhodes,Martin Rhodes,Labour,,,,martin.rhodes.mp@parliament.uk
Bell,Ribeiro-Addy,Bell Ribeiro-Addy,Labour,,,,bell.ribeiroaddy.mp@parliament.uk
Jake,Richards,Jake Richards,Labour,,,,jake.richards.mp@parliament.uk
Jenny,Riddell-Carpenter,Jenny Riddell-Carpenter,Labour,,,,jenny.riddellcarpenter.mp@parliament.uk
Lucy,Rigby,Lucy Rigby,Labour,Solicitor General,,,lucy.rigby.mp@parliament.uk
Ms,Marie Rimmer,Ms Marie Rimmer,Labour,,,,marie.rimmer.mp@parliament.uk
Dave,Robertson,Dave Robertson,Labour,,,,dave.robertson.mp@parliament.uk
Joe,Robertson,Joe Robertson,Conservative,,,,joe.robertson.mp@parliament.uk
Gavin,Robinson,Gavin Robinson,Democratic Unionist Party,,,,gavin.robinson.mp@parliament.uk
Tim,Roca,Tim Roca,Labour,,,,tim.roca.mp@parliament.uk
Matt,Rodda,Matt Rodda,Labour,,,,matt.rodda.mp@parliament.uk
Ian,Roome,Ian Roome,Liberal Democrat,,,,ian.roome.mp@parliament.uk
Andrew,Rosindell,Andrew Rosindell,Conservative,,,,andrew.rosindell.mp@parliament.uk
Sam,Rushworth,Sam Rushworth,Labour,,,,sam.rushworth.mp@parliament.uk
Sarah,Russell,Sarah Russell,Labour,,,,sarah.russell.mp@parliament.uk
Tom,Rutland,Tom Rutland,Labour,,,,tom.rutland.mp@parliament.uk
Oliver,Ryan,Oliver Ryan,Independent,,,,oliver.ryan.mp@parliament.uk
Anna,Sabine,Anna Sabine,Liberal Democrat,,,,anna.sabine.mp@parliament.uk
Sarah,Sackman,Sarah Sackman,Labour,Minister of State,,,sarah.sackman.mp@parliament.uk
Dr,Jeevun Sandher,Dr Jeevun Sandher,Labour,,,,jeevun.sandher.mp@parliament.uk
Dr,Roz Savage,Dr Roz Savage,Liberal Democrat,,,,roz.savage.mp@parliament.uk
Liz,Saville Roberts,Liz Saville Roberts,Plaid Cymru,,,,liz.savilleroberts.mp@parliament.uk
Michelle,Scrogham,Michelle Scrogham,Labour,,,,michelle.scrogham.mp@parliament.uk
Mark,Sewards,Mark Sewards,Labour,,,,mark.sewards.mp@parliament.uk
Naz,Shah,Naz Shah,Labour,,,,naz.shah.mp@parliament.uk
Baggy,Shanker,Baggy Shanker,Labour (Co-op),,,,baggy.shanker.mp@parliament.uk
Michael,Shanks,Michael Shanks,Labour,Minister for Energy,,,michael.shanks.mp@parliament.uk
Jim,Shannon,Jim Shannon,Democratic Unionist Party,,,,jim.shannon.mp@parliament.uk
Dr,Neil Shastri-Hurst,Dr Neil Shastri-Hurst,Conservative,,,,neil.shastrihurst.mp@parliament.uk
Sir,Alec Shelbrooke,Sir Alec Shelbrooke,Conservative,,,,alec.shelbrooke.mp@parliament.uk
Tulip,Siddiq,Tulip Siddiq,Labour,,,,tulip.siddiq.mp@parliament.uk
David,Simmonds,David Simmonds,Conservative,,,,david.simmonds.mp@parliament.uk
Josh,Simons,Josh Simons,Labour,,,,josh.simons.mp@parliament.uk
Vikki,Slade,Vikki Slade,Liberal Democrat,,,,vikki.slade.mp@parliament.uk
Andy,Slaughter,Andy Slaughter,Labour,,,,slaughtera@parliament.uk
John,Slinger,John Slinger,Labour,,,,john.slinger.mp@parliament.uk
Lisa,Smart,Lisa Smart,Liberal Democrat,,,,lisa.smart.mp@parliament.uk
Cat,Smith,Cat Smith,Labour,,,,cat.smith.mp@parliament.uk
David,Smith,David Smith,Labour,,,,david.smith.mp@parliament.uk
Greg,Smith,Greg Smith,Conservative,,,,greg.smith.mp@parliament.uk
Jeff,Smith,Jeff Smith,Labour,Lord Commissioner (Whip),,,jeff.smith.mp@parliament.uk
Sir,Julian Smith,Sir Julian Smith,Conservative,,,,julian.smith.mp@parliament.uk
Nick,Smith,Nick Smith,Labour,,,,nick.smith.mp@parliament.uk
Rebecca,Smith,Rebecca Smith,Conservative,,,,rebecca.smith.mp@parliament.uk
Sarah,Smith,Sarah Smith,Labour,,,,sarah.smith.mp@parliament.uk
Karin,Smyth,Karin Smyth,Labour,Minister for Secondary Care,,,karin.smyth.mp@parliament.uk
Gareth,Snell,Gareth Snell,Labour (Co-op),,,,gareth.snell.mp@parliament.uk
Mr,Andrew Snowden,Mr Andrew Snowden,Conservative,,,,andrew.snowden.mp@parliament.uk
Alex,Sobel,Alex Sobel,Labour (Co-op),,,,alex.sobel.mp@parliament.uk
Ian,Sollom,Ian Sollom,Liberal Democrat,,,,ian.sollom.mp@parliament.uk
Dr,Ben Spencer,Dr Ben Spencer,Conservative,,,,ben.spencer.mp@parliament.uk
Patrick,Spencer,Patrick Spencer,Independent,,,,patrick.spencer.mp@parliament.uk
Gregory,Stafford,Gregory Stafford,Conservative,,,,greg.stafford.mp@parliament.uk
Euan,Stainbank,Euan Stainbank,Labour,,,,euan.stainbank.mp@parliament.uk
Sir,Keir Starmer,Sir Keir Starmer,Labour,Prime Minister,,,keir.starmer.mp@parliament.uk
Blake,Stephenson,Blake Stephenson,Conservative,,,,blake.stephenson.mp@parliament.uk
Jo,Stevens,Jo Stevens,Labour,Secretary of State for Wales,,,jo.stevens.mp@parliament.uk
Kenneth,Stevenson,Kenneth Stevenson,Labour,,,,kenneth.stevenson.mp@parliament.uk
Elaine,Stewart,Elaine Stewart,Labour,,,,elaine.stewart.mp@parliament.uk
Jamie,Stone,Jamie Stone,Liberal Democrat,,,,jamie.stone.mp@parliament.uk
Will,Stone,Will Stone,Labour,,,,will.stone.mp@parliament.uk
Alistair,Strathern,Alistair Strathern,Labour,,,,alistair.strathern.mp@parliament.uk
Wes,Streeting,Wes Streeting,Labour,Secretary of State for Health and Social Care,,,wes.streeting.mp@parliament.uk
Alan,Strickland,Alan Strickland,Labour,,,,alan.strickland.mp@parliament.uk
Sir,Mel Stride,Sir Mel Stride,Conservative,,,,mel.stride.mp@parliament.uk
Graham,Stringer,Graham Stringer,Labour,,,,graham.stringer.mp@parliament.uk
Graham,Stuart,Graham Stuart,Conservative,,,,grahamstuartmp@parliament.uk
Kirsteen,Sullivan,Kirsteen Sullivan,Labour (Co-op),,,,kirsteen.sullivan.mp@parliament.uk
Dr,Lauren Sullivan,Dr Lauren Sullivan,Labour,,,,lauren.sullivan.mp@parliament.uk
Zarah,Sultana,Zarah Sultana,Independent,,,,zarah.sultana.mp@parliament.uk
Rishi,Sunak,Rishi Sunak,Conservative,,,,rishi.sunak.mp@parliament.uk
Peter,Swallow,Peter Swallow,Labour,,,,peter.swallow.mp@parliament.uk
Robin,Swann,Robin Swann,Ulster Unionist Party,,,,robin.swann.mp@parliament.uk
Sir,Desmond Swayne,Sir Desmond Swayne,Conservative,,,,swayned@parliament.uk
Sir,Mark Tami,Sir Mark Tami,,Treasurer of HM Household (Deputy Chief Whip),,,
Mike,Tapp,Mike Tapp,Labour,,,,mike.tapp.mp@parliament.uk
Alison,Taylor,Alison Taylor,Labour,,,,alison.taylor.mp@parliament.uk
David,Taylor,David Taylor,Labour,,,,david.taylor.mp@parliament.uk
Luke,Taylor,Luke Taylor,Liberal Democrat,,,,luke.taylor.mp@parliament.uk
Rachel,Taylor,Rachel Taylor,Labour,,,,rachel.taylor.mp@parliament.uk
Bradley,Thomas,Bradley Thomas,Conservative,,,,bradley.thomas.mp@parliament.uk
Cameron,Thomas,Cameron Thomas,Liberal Democrat,,,,cameron.thomas.mp@parliament.uk
Fred,Thomas,Fred Thomas,Labour,,,,fred.thomas.mp@parliament.uk
Gareth,Thomas,Gareth Thomas,Labour (Co-op),"Minister for Services, Small Business and Exports",,,gareth.thomas.mp@parliament.uk
Nick,Thomas-Symonds,Nick Thomas-Symonds,Labour,Minister for the Constitution and European Relations,,,nick.thomassymonds.mp@parliament.uk
Adam,Thompson,Adam Thompson,Labour,,,,adam.thompson.mp@parliament.uk
Emily,Thornberry,Emily Thornberry,Labour,,,,thornberrye@parliament.uk
Richard,Tice,Richard Tice,Reform UK,,,,richard.tice.mp@parliament.uk
Dr,Marie Tidball,Dr Marie Tidball,Labour,,,,marie.tidball.mp@parliament.uk
Sir,Stephen Timms,Sir Stephen Timms,Labour,Minister for Social Security and Disability,,,timmss@parliament.uk
Nick,Timothy,Nick Timothy,Conservative,,,,nick.timothy.mp@parliament.uk
Jessica,Toale,Jessica Toale,Labour,,,,jessica.toale.mp@parliament.uk
Dan,Tomlinson,Dan Tomlinson,Labour,,,,dan.tomlinson.mp@parliament.uk
Jon,Trickett,Jon Trickett,Labour,,,,trickettj@parliament.uk
Laura,Trott,Laura Trott,Conservative,,,,laura.trott.mp@parliament.uk
Henry,Tufnell,Henry Tufnell,Labour,,,,henry.tufnell.mp@parliament.uk
Tom,Tugendhat,Tom Tugendhat,Conservative,,,,tom.tugendhat.mp@parliament.uk
