Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address
,020 7219 5353,Lord O'Donnell,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4255,Lord,O'Donnell,020 7219 5353,,
,020 7219 5353,Baroness O'Neill of Bengarve,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2441,Baroness,O'Neill of Bengarve,020 7219 5353,,
,020 7219 5353,Lord Oates,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4549,Lord,Oates,020 7219 5353,,
,020 7219 5353,Lord Pack,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,5389,Lord,Pack,020 7219 5353,,
,020 7219 5353,Lord Paddick,FALSE,paddickb@parliament.uk,Non-affiliated,2,,,4288,Lord,Paddick,020 7219 5353,,
,020 7219 5353,Lord Pannick,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3870,Lord,Pannick,020 7219 5353,,
,020 7219 5353,Lord Patel,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2443,Lord,Patel,020 7219 5353,,
,020 7219 5353,Lord Paul,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,3163,Lord,Paul,020 7219 5353,,
,020 7219 5353,Earl Peel,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3161,Earl,Peel,020 7219 5353,,
email only,020 7219 5353,Baroness Pidgeon,FALSE,pidgeonc@parliament.uk,Liberal Democrat,2,,,5366,Baroness,Pidgeon,020 7219 5353,,
did not answer try again later (12:38),020 7219 5353,Baroness Pinnock,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4341,Baroness,Pinnock,020 7219 5353,,
,020 7219 5353,Lord Ravensdale,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4715,Lord,Ravensdale,020 7219 5353,,
,020 7219 5353,Lord Redesdale,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,3271,Lord,Redesdale,020 7219 5353,,
,020 7219 5353,Lord Ricketts,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4587,Lord,Ricketts,020 7219 5353,,
,020 7219 5353,Lord Rosenfield,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4992,Lord,Rosenfield,020 7219 5353,,
,020 7219 5353,Earl Russell,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4983,Earl,Russell,020 7219 5353,,
,020 7219 5353,Baroness Scott of Needham Market,FALSE,scottrc@parliament.uk,Liberal Democrat,2,,,2542,Baroness,Scott of Needham Market,020 7219 5353,,
,020 7219 5353,Lord Scriven,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4333,Lord,Scriven,020 7219 5353,,
,020 7219 5353,Lord Sentamu,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3762,Lord,Sentamu,020 7219 5353,,
,020 7219 5353,Lord Sharkey,FALSE,sharkeyjk@parliament.uk,Liberal Democrat,2,,,4196,Lord,Sharkey,020 7219 5353,,
,020 7219 5353,Baroness Sheehan,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4548,Baroness,Sheehan,020 7219 5353,,
,020 7219 5353,Lord Shipley,FALSE,shipleyj@parliament.uk,Liberal Democrat,2,,,4176,Lord,Shipley,020 7219 5353,,
,020 7219 5353,Lord Skidelsky,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3120,Lord,Skidelsky,020 7219 5353,,
email only,020 7219 5353,Baroness Stern,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2475,Baroness,Stern,020 7219 5353,,
no answer,020 7219 5353,Lord Stirrup,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4233,Lord,Stirrup,020 7219 5353,,
no answer,020 7219 5353,Lord Storey,FALSE,storeym@parliament.uk,Liberal Democrat,2,,,4238,Lord,Storey,020 7219 5353,,
,020 7219 5353,Lord Strasburger,FALSE,strasburgerp@parliament.uk,Liberal Democrat,2,,,4204,Lord,Strasburger,020 7219 5353,,
,020 7219 5353,Lord Strathcarron,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4937,Lord,Strathcarron,020 7219 5353,,
,020 7219 5353,Baroness Stuart of Edgbaston,FALSE,stuartg@parliament.uk,Crossbench,2,,,296,Baroness,Stuart of Edgbaston,020 7219 5353,,
,020 7219 5353,Lord Sugar,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3897,Lord,Sugar,020 7219 5353,,
,020 7219 5353,Baroness Suttie,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4298,Baroness,Suttie,020 7219 5353,,
,020 7219 5353,Lord Tarassenko,FALSE,tarassenkol@parliament.uk,Crossbench,2,,,5027,Lord,Tarassenko,020 7219 5353,,
,020 7219 5353,Baroness Thomas of Winchester,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,3785,Baroness,Thomas of Winchester,020 7219 5353,,
,020 7219 5353,Baroness Thornhill,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4558,Baroness,Thornhill,020 7219 5353,,
,020 7219 5353,Lord Thurlow,FALSE,thurlowr@parliament.uk,Crossbench,2,,,4353,Lord,Thurlow,020 7219 5353,,
,020 7219 5353,Viscount Thurso,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,1399,Viscount,Thurso,020 7219 5353,,
,020 7219 5353,Lord Trees,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4260,Lord,Trees,020 7219 5353,,
,020 7219 5353,Lord Truscott,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,3682,Lord,Truscott,020 7219 5353,,
,020 7219 5353,Lord Turnbull,FALSE,andrew@the-turnbulls.com,Crossbench,2,,,3758,Lord,Turnbull,020 7219 5353,,
,020 7219 5353,Lord Tyrie,FALSE,tyriea@parliament.uk,Non-affiliated,2,,,112,Lord,Tyrie,020 7219 5353,,
no direct phone line contact via email ,020 7219 5353,Baroness Valentine,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3757,Baroness,Valentine,020 7219 5353,,
,020 7219 5353,Lord Verdirame,FALSE,verdirameg@parliament.uk,Non-affiliated,2,,,4962,Lord,Verdirame,020 7219 5353,,
,020 7219 5353,Lord Verjee,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4299,Lord,Verjee,020 7219 5353,,
Left voicemail,020 7219 5353,Baroness Warsi,FALSE,warsis@parliament.uk,Non-affiliated,2,,,3839,Baroness,Warsi,020 7219 5353,,
voicemail,020 7219 5353,Baroness Wheatcroft,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4199,Baroness,Wheatcroft,020 7219 5353,,
no deets,020 7219 5353,Baroness Willis of Summertown,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4945,Baroness,Willis of Summertown,020 7219 5353,,
,020 7219 5353,Baroness Wolf of Dulwich,FALSE,wolfa@parliament.uk,Crossbench,2,,,4347,Baroness,Wolf of Dulwich,020 7219 5353,,
,020 7219 5353,Lord Trevethin and Oaksey,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4560,Trevethin,and Oaksey,020 7219 5353,,
,020 7219 5353,Lord Neuberger of Abbotsbury,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3827,Neuberger,of Abbotsbury,020 7219 5353,,
voicemail,020 7219 5353,Lord Walker of Aldringham,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3825,Walker,of Aldringham,020 7219 5353,,
,020 7219 5353,Lord Boswell of Aynho,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,352,Boswell,of Aynho,020 7219 5353,,
,020 7219 5353,Lord Powell of Bayswater,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2527,Powell,of Bayswater,020 7219 5353,,
,020 7219 5353,Lord Hall of Birkenhead,FALSE,halla@parliament.uk,Crossbench,2,,,3765,Hall,of Birkenhead,020 7219 5353,,
,020 7219 5353,Lord Stevens of Birmingham,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4924,Stevens,of Birmingham,020 7219 5353,,
,020 7219 5353,Lord Blair of Boughton,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4182,Blair,of Boughton,020 7219 5353,,
,020 7219 5353,Lord Prior of Brampton,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,127,Prior,of Brampton,020 7219 5353,,
,020 7219 5353,Lord Stern of Brentford,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3846,Stern,of Brentford,020 7219 5353,,
,020 7219 5353,Lord Hannay of Chiswick,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2167,Hannay,of Chiswick,020 7219 5353,,
no ext,020 7219 5353,Lord Carey of Clifton,FALSE,carey.andr@gmail.com,Crossbench,2,,,2205,Carey,of Clifton,020 7219 5353,,
,020 7219 5353,Lord Thomas of Cwmgiedd,FALSE,thomasjl@parliament.uk,Crossbench,2,,,4309,Thomas,of Cwmgiedd,020 7219 5353,,
,020 7219 5353,Lord Green of Deddington,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4346,Green,of Deddington,020 7219 5353,,
,020 7219 5353,Lord Darzi of Denham,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,3779,Darzi,of Denham,020 7219 5353,,
,020 7219 5353,Lord Wilson of Dinton,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2206,Wilson,of Dinton,020 7219 5353,,
Left voicemail ,020 7219 5353,Lord Stoneham of Droxford,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4215,Stoneham,of Droxford,020 7219 5353,,
,020 7219 5353,Lord Austin of Dudley,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,1511,Austin,of Dudley,020 7219 5353,,
,020 7219 5353,Lord Macpherson of Earl's Court,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4586,Macpherson,of Earl's Court,020 7219 5353,,
,020 7219 5353,Lord Turner of Ecchinswell,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3752,Turner,of Ecchinswell,020 7219 5353,,
,020 7219 5353,Lord Moore of Etchingham,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4891,Moore,of Etchingham,020 7219 5353,,
,020 7219 5353,Lord O'Neill of Gatley,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4536,O'Neill,of Gatley,020 7219 5353,,
,020 7219 5353,Lord Taylor of Goss Moor,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,228,Taylor,of Goss Moor,020 7219 5353,,
,020 7219 5353,Lord Thomas of Gresford,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,1804,Thomas,of Gresford,020 7219 5353,,
number not working - email contact only,020 7219 5353,Lord Allan of Hallam,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,397,Allan,of Hallam,020 7219 5353,,
,020 7219 5353,Lord Vaux of Harrowden,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4687,Vaux,of Harrowden,020 7219 5353,,
,020 7219 5353,Lord Carter of Haslemere,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4732,Carter,of Haslemere,020 7219 5353,,
,020 7219 5353,Lord Marks of Henley-on-Thames,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4206,Marks,of Henley-on-Thames,020 7219 5353,,
,020 7219 5353,Lord Green of Hurstpierpoint,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4191,Green,of Hurstpierpoint,020 7219 5353,,
Email only ,020 7219 5353,Lord Smith of Kelvin,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3856,Smith,of Kelvin,020 7219 5353,,
,020 7219 5353,Lord Gardiner of Kimble,FALSE,hlseniordeputyspeaker@parliament.uk,Non-affiliated,2,,,4161,Gardiner,of Kimble,020 7219 5353,,
Voicemail,020 7219 5353,Lord Kerr of Kinlochard,FALSE,kerrj@parliament.uk,Crossbench,2,,,3708,Kerr,of Kinlochard,020 7219 5353,,
Voicemail,020 7219 5353,Lord Stevens of Kirkwhelpington,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3733,Stevens,of Kirkwhelpington,020 7219 5353,,
Email only,020 7219 5353,Lord Berkeley of Knighton,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4276,Berkeley,of Knighton,020 7219 5353,,
Email only NEU,020 7219 5353,Lord Russell of Liverpool,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2134,Russell,of Liverpool,020 7219 5353,,
Email only -NEY,020 7219 5353,Lord King of Lothbury,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4280,King,of Lothbury,020 7219 5353,,
Voice message,020 7219 5353,Lord Rees of Ludlow,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3751,Rees,of Ludlow,020 7219 5353,,
Voice message,020 7219 5353,Lord Browne of Madingley,FALSE,,Crossbench,2,,,2172,Browne,of Madingley,020 7219 5353,,
Email only - not emailed yet (NEY),020 7219 5353,Lord Currie of Marylebone,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2727,Currie,of Marylebone,020 7219 5353,,
Email only - NEY,020 7219 5353,Lord Parker of Minsmere,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4910,Parker,of Minsmere,020 7219 5353,,
Email only - NEY,020 7219 5353,Lord Hennessy of Nympsfield,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4189,Hennessy,of Nympsfield,020 7219 5353,,
Voice message,020 7219 5353,Lord Livingston of Parkhead,FALSE,contactholmember@parliament.uk,Non-affiliated,2,,,4278,Livingston,of Parkhead,020 7219 5353,,
Email only - NEY,020 7219 5353,Lord Harries of Pentregarth,FALSE,harriesr@parliament.uk,Crossbench,2,,,3813,Harries,of Pentregarth,020 7219 5353,,
Only contactable by email ,020 7219 5353,Lord Campbell of Pittenweem,FALSE,campbellm@parliament.uk,Liberal Democrat,2,,,627,Campbell,of Pittenweem,020 7219 5353,,
Voicemail,020 7219 5353,Lord Pearson of Rannoch,FALSE,lordpearsonofrannoch@gmail.com,Non-affiliated,2,,,3153,Pearson,of Rannoch,020 7219 5353,,
Contactholmember@parliament.uk,020 7219 5353,Lord Macdonald of River Glaven,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4172,Macdonald,of River Glaven,020 7219 5353,,
Email only,020 7219 5353,Lord McDonald of Salford,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4908,McDonald,of Salford,020 7219 5353,,
Voicemail ,020 7219 5353,Lord Hastings of Scarisbrick,FALSE,contactholmember@parliament.uk,Crossbench,2,,,3759,Hastings,of Scarisbrick,020 7219 5353,,
Email o ly,020 7219 5353,Lord Oakeshott of Seagrove Bay,FALSE,oakeshottm@parliament.uk,Non-affiliated,2,,,2536,Oakeshott,of Seagrove Bay,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Mohammed of Tinsley,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,5401,Mohammed,of Tinsley,020 7219 5353,,
Sent email - is in parliament,020 7219 5353,Lord Lee of Trafford,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,1132,Lee,of Trafford,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Purvis of Tweed,FALSE,contactholmember@parliament.uk,Liberal Democrat,2,,,4293,Purvis,of Tweed,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Taylor of Warwick,FALSE,taylorjdb@parliament.uk,Non-affiliated,2,,,1796,Taylor,of Warwick,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Harrington of Watford,FALSE,harringtonr@parliament.uk,Non-affiliated,2,,,4068,Harrington,of Watford,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Evans of Weardale,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4348,Evans,of Weardale,020 7219 5353,,
Email only,020 7219 5353,Lord Singh of Wimbledon,FALSE,singhia@parliament.uk,Crossbench,2,,,4251,Singh,of Wimbledon,020 7219 5353,,
Email only,020 7219 5353,Lord Cooper of Windrush,FALSE,cooperac@parliament.uk,Non-affiliated,2,,,4327,Cooper,of Windrush,020 7219 5353,,
Email,020 7219 5353,Lord Woolley of Woodford,FALSE,contactholmember@parliament.uk,Crossbench,2,,,4722,Woolley,of Woodford,020 7219 5353,,
Email,020 7219 5353,Lord Phillips of Worth Matravers,FALSE,contactholmember@parliament.uk,Crossbench,2,,,2439,Phillips,of Worth Matravers,020 7219 5353,,
No answer,020 7219 5353,Lord Grade of Yarmouth,FALSE,ros@michaelgrade.com,Non-affiliated,2,,,4228,Grade,of Yarmouth,020 7219 5353,,
e-mail contact only ,020 7219 5353,Lord Stevens of Ludgate,FALSE,stevensdavid@parliament.uk,Conservative Independent,2,,,2227,Stevens,of Ludgate,020 7219 5353,,
,020 7219 5353,The Lord Archbishop of York,FALSE,office@archbishopofyork.org,Bishops,2,,,4315,The,Archbishop of York,020 7219 5353,,
No answer ,020 7219 5353,The Lord Bishop of Bristol,FALSE,contactholmember@parliament.uk,Bishops,2,,,4709,The,Bishop of Bristol,020 7219 5353,,
No answer ,020 7219 5353,The Lord Bishop of Chichester,FALSE,contactholmember@parliament.uk,Bishops,2,,,4695,The,Bishop of Chichester,020 7219 5353,,
No answer ,020 7219 5353,The Lord Bishop of Coventry,FALSE,contactholmember@parliament.uk,Bishops,2,,,5402,The,Bishop of Coventry,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Derby,FALSE,contactholmember@parliament.uk,Bishops,2,,,4714,The,Bishop of Derby,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Gloucester,FALSE,contactholmember@parliament.uk,Bishops,2,,,4540,The,Bishop of Gloucester,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Guildford,FALSE,contactholmember@parliament.uk,Bishops,2,,,4933,The,Bishop of Guildford,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Hereford,FALSE,contactholmember@parliament.uk,Bishops,2,,,5003,The,Bishop of Hereford,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Leeds,FALSE,bainesn@parliament.uk,Bishops,2,,,4349,The,Bishop of Leeds,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Leicester,FALSE,contactholmember@parliament.uk,Bishops,2,,,4947,The,Bishop of Leicester,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Lichfield,FALSE,contactholmember@parliament.uk,Bishops,2,,,4954,The,Bishop of Lichfield,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Lincoln,FALSE,bishop.lincoln@lincoln.anglican.org,Bishops,2,,,4319,The,Bishop of Lincoln,020 7219 5353,,
,020 7219 5353,The Lord Bishop of London,FALSE,contactholmember@parliament.uk,Bishops,2,,,4696,The,Bishop of London,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Manchester,FALSE,walkerdb@parliament.uk,Bishops,2,,,4878,The,Bishop of Manchester,020 7219 5353,,
,020 7219 5353,The Lord Bishop of Newcastle,FALSE,hartleyh@parliament.uk,Bishops,2,,,4996,The,Bishop of Newcastle,020 7219 5353,,
not in chamber today,020 7219 5353,The Lord Bishop of Oxford,FALSE,contactholmember@parliament.uk,Bishops,2,,,4279,The,Bishop of Oxford,020 7219 5353,,
no number available,020 7219 5353,The Lord Bishop of Peterborough,FALSE,contactholmember@parliament.uk,Bishops,2,,,5371,The,Bishop of Peterborough,020 7219 5353,,
switchboard,020 7219 5353,The Lord Bishop of Southwark,FALSE,contactholmember@parliament.uk,Bishops,2,,,4345,The,Bishop of Southwark,020 7219 5353,,
switch board - apparently doesn't have a phone number,020 7219 5353,The Lord Bishop of Southwell and Nottingham,FALSE,contactholmember@parliament.uk,Bishops,2,,,4940,The,Bishop of Southwell and Nottingham,020 7219 5353,,
switch board - only contacted via email,020 7219 5353,The Lord Bishop of Winchester,FALSE,contactholmember@parliament.uk,Bishops,2,,,5004,The,Bishop of Winchester,020 7219 5353,,
,2072195353,Baroness Billingham,FALSE,a.billingham77@btinternet.com,Labour,3,,,2538,Baroness,Billingham,2072195353,,
,,Lord Liddle,FALSE,liddler@parliament.uk,Labour,3,,,4156,Lord,Liddle,020 7219 2132,,
Only contactable by email- emailed,,Baroness Levitt,FALSE,levitta@parliament.uk,Labour,3,,,5381,Baroness,Levitt,020 7219 3000,,
,,Lord Lennie,FALSE,contactholmember@parliament.uk,Labour,3,,,4338,Lord,Lennie,020 7219 5353,,
,,Lord Lemos,FALSE,contactholmember@parliament.uk,Labour,3,,,5382,Lord,Lemos,020 7219 5353,,
,,Lord Layard,FALSE,contactholmember@parliament.uk,Labour,3,,,2540,Lord,Layard,020 7219 5353,,
,,Baroness Lawrence of Clarendon,FALSE,contactholmember@parliament.uk,Labour,3,,,4290,Baroness,Lawrence of Clarendon,020 7219 5353,,
,,Lord Kestenbaum,FALSE,kestenbaumj@parliament.uk,Labour,3,,,4225,Lord,Kestenbaum,020 7219 5353,,
Voicemail,020 7219 0358,Baroness Pitkeathley,FALSE,pitkeathleyj@parliament.uk,Labour,3,,,3179,Baroness,Pitkeathley,020 7219 0358,,
Voicemail,020 7219 1435,Baroness Royall of Blaisdon,FALSE,royallj@parliament.uk,Labour,3,,,3703,Baroness,Royall of Blaisdon,020 7219 1435,,
No answer - immediate cutoff,020 7219 2558,Lord Clark of Windermere,FALSE,clarkd@parliament.uk,Labour,3,,,525,Clark,of Windermere,020 7219 2558,,
number corrected - switchboard.  they transferred me but no answer,020 7219 3000,Lord Anderson of Swansea,FALSE,contactholmember@parliament.uk,Labour,3,,,568,Anderson,of Swansea,020 7219 300,,
voicemail,020 7219 3000,Lord Adonis,FALSE,adonisa@parliament.uk,Labour,3,,,3743,Lord,Adonis,020 7219 3000,,
email only,020 7219 3000,Baroness Amos,FALSE,contactholmember@parliament.uk,Labour,3,,,3477,Baroness,Amos,020 7219 3000,,
voicemail ,020 7219 3000,Baroness Prosser,FALSE,prosserm@parliament.uk,Labour,3,,,3684,Baroness,Prosser,020 7219 3000,,
no deets,020 7219 3000,Lord Wills,FALSE,contactholmember@parliament.uk,Labour,3,,,260,Lord,Wills,020 7219 3000,,
voicemail ,020 7219 3000,Lord Cunningham of Felling,FALSE,contactholmember@parliament.uk,Labour,3,,,496,Cunningham,of Felling,020 7219 3000,,
Voicemail,020 7219 3118,Lord Whitty,FALSE,whittyl@parliament.uk,Labour,3,,,2444,Lord,Whitty,020 7219 3118,,
voicemail ,020 7219 3494,Baroness Berger,FALSE,bergerl@parliament.uk,Labour,3,,,4036,Baroness,Berger,020 7219 3494,,
❤️ Was really receptive,020 7219 3513,Lord Campbell-Savours,FALSE,campbellsavours@parliament.uk,Labour,3,,,499,Lord,Campbell-Savours,020 7219 3513,,
no answer ,020 7219 3629,Lord Davies of Brixton,FALSE,daviesofbrixton@parliament.uk,Labour,3,,,4893,Davies,of Brixton,020 7219 3629,,
voicemail,020 7219 3842,Lord Rowlands,FALSE,contactholmember@parliament.uk,Labour,3,,,554,Lord,Rowlands,020 7219 3842,,
voicemail ,020 7219 4207,Lord Bradley,FALSE,bradleykj@parliament.uk,Labour,3,,,452,Lord,Bradley,020 7219 4207,,
voicemail,020 7219 4209,Baroness Golding,FALSE,goldingll@parliament.uk,Labour,3,,,281,Baroness,Golding,020 7219 4209,,
Voice message,020 7219 4501,Lord Browne of Ladyton,FALSE,browned@parliament.uk,Labour,3,,,620,Browne,of Ladyton,020 7219 4501,,
voicemail left,020 7219 5097,Lord Grocott,FALSE,grocottb@parliament.uk,Labour,3,,,276,Lord,Grocott,020 7219 5097,,
no answer ,020 7219 5183,Baroness Taylor of Bolton,FALSE,taylora@parliament.uk,Labour,3,,,407,Baroness,Taylor of Bolton,020 7219 5183,,
no answer,020 7219 5353,Baroness Sherlock,FALSE,sherlockm@parliament.uk,Labour,3,,Minister of State,4147,Baroness,Sherlock,020 7219 5353,,
no answer straight to voicemail ,020 7219 5353,Baroness Whitaker,FALSE,contactholmember@parliament.uk,Labour,3,,,2510,Baroness,Whitaker,020 7219 5353,,
straight to voicemail ,020 7219 5353,Baroness Adams of Craigielea,FALSE,contactholmember@parliament.uk,Labour,3,,,631,Baroness,Adams of Craigielea,020 7219 5353,,
email only,020 7219 5353,Baroness Alexander of Cleveden,FALSE,alexanderw@parliament.uk,Labour,3,,,5394,Baroness,Alexander of Cleveden,020 7219 5353,,
only contactable by email,020 7219 5353,Lord Alli,FALSE,contactholmember@parliament.uk,Labour,3,,,3482,Lord,Alli,020 7219 5353,,
only contactable by email,020 7219 5353,Baroness Andrews,FALSE,contactholmember@parliament.uk,Labour,3,,,2534,Baroness,Andrews,020 7219 5353,,
got put through to a corporate speaking agency asking if I want to book her,020 7219 5353,Baroness Ashton of Upholland,FALSE,contactholmember@parliament.uk,Labour,3,,,2500,Baroness,Ashton of Upholland,020 7219 5353,,
voicemail ,020 7219 5353,Baroness Bakewell,FALSE,contactholmember@parliament.uk,Labour,3,,,4223,Baroness,Bakewell,020 7219 5353,,
no details,020 7219 5353,Lord Beamish,FALSE,beamish@parliament.uk,Labour,3,,,1438,Lord,Beamish,020 7219 5353,,
no answer ,020 7219 5353,Lord Berkeley,FALSE,berkeleyafg@parliament.uk,Labour,3,,,3526,Lord,Berkeley,020 7219 5353,,
email only,020 7219 5353,Baroness Blower,FALSE,blowerc@parliament.uk,Labour,3,,,4724,Baroness,Blower,020 7219 5353,,
email only,020 7219 5353,Baroness Bousted,FALSE,contactholmember@parliament.uk,Labour,3,,,5385,Baroness,Bousted,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Bragg,FALSE,contactholmember@parliament.uk,Labour,3,,,3514,Lord,Bragg,020 7219 5353,,
email only,020 7219 5353,Baroness Brown of Silvertown,FALSE,contactholmember@parliament.uk,Labour,3,,,1583,Baroness,Brown of Silvertown,020 7219 5353,,
Only contactable by email,020 7219 5353,Baroness Bryan of Partick,FALSE,bryanp@parliament.uk,Labour,3,,,4701,Baroness,Bryan of Partick,020 7219 5353,,
email only,020 7219 5353,Baroness Caine of Kentish Town,FALSE,cainede@parliament.uk,Labour,3,,,5391,Baroness,Caine of Kentish Town,020 7219 5353,,
email only,020 7219 5353,Baroness Carberry of Muswell Hill,FALSE,contactholmember@parliament.uk,Labour,3,,,5390,Baroness,Carberry of Muswell Hill,020 7219 5353,,
email only,020 7219 5353,Viscount Chandos,FALSE,contactholmember@parliament.uk,Labour,3,,,3308,Viscount,Chandos,020 7219 5353,,
no answer,020 7219 5353,Lord Christopher,FALSE,contactholmember@parliament.uk,Labour,3,,,3395,Lord,Christopher,020 7219 5353,,
,020 7219 5353,Lord Cryer,FALSE,contactholmember@parliament.uk,Labour,3,,,181,Lord,Cryer,020 7219 5353,,
,020 7219 5353,Baroness Curran,FALSE,contactholmember@parliament.uk,Labour,3,,,3982,Baroness,Curran,020 7219 5353,,
only e mail,020 7219 5353,Baroness Debbonaire,FALSE,contactholmember@parliament.uk,Labour,3,,,4433,Baroness,Debbonaire,020 7219 5353,,
got through from switchboard but number cut out,020 7219 5353,Baroness Donaghy,FALSE,donaghyr@parliament.uk,Labour,3,,,4166,Baroness,Donaghy,020 7219 5353,,
,020 7219 5353,Baroness Drake,FALSE,contactholmember@parliament.uk,Labour,3,,,4155,Baroness,Drake,020 7219 5353,,
,020 7219 5353,Lord Drayson,FALSE,draysonp@parliament.uk,Labour,3,,,3669,Lord,Drayson,020 7219 5353,,
,020 7219 5353,Lord Dubs,FALSE,contactholmember@parliament.uk,Labour,3,,,805,Lord,Dubs,020 7219 5353,,
Left voicemail,020 7219 5353,Lord Eatwell,FALSE,contactholmember@parliament.uk,Labour,3,,,2802,Lord,Eatwell,020 7219 5353,,
,020 7219 5353,Baroness Elliott of Whitburn Bay,FALSE,elliottj@parliament.uk,Labour,3,,,4127,Baroness,Elliott of Whitburn Bay,020 7219 5353,,
Voicemail,020 7219 5353,Lord Giddens,FALSE,giddensa@parliament.uk,Labour,3,,,3688,Lord,Giddens,020 7219 5353,,
